"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0061","元大寶滬深      ","68,000","29,000","39,000","0","0","0","24,719,000","13,069,000","11,650,000","1,458,000",
="006206","元大上證50      ","150,000","279,000","-129,000","0","0","0","6,443,000","3,619,000","2,824,000","666,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","416,000","375,000","41,000","334,000",
="006205","富邦上証        ","0","0","0","176,000","0","176,000","5,068,000","2,535,000","2,533,000","178,000",
="0059","富邦金融        ","0","0","0","0","0","0","10,000","10,000","0","10,000",
="0054","元大台商50      ","0","0","0","0","0","0","9,000","9,000","0","9,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","159,297","81,000","78,297","2,703",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="0053","元大電子        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="0060","新台灣          ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006208","富邦台50        ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="0051","元大中型100     ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="006207","FH滬深          ","1,301,000","1,204,000","97,000","200,000","0","200,000","923,000","199,000","724,000","-228,000",
="0057","富邦摩台        ","0","0","0","0","0","0","1,009,000","354,000","655,000","-301,000",
="0056","元大高股息      ","0","56,000","-56,000","0","0","0","1,159,000","236,000","923,000","-743,000",
="0050","元大台灣50      ","5,499,000","2,458,000","3,041,000","0","0","0","14,157,000","3,697,000","10,460,000","-3,722,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
