"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","655,000","0","655,000","0","0","0","3,170,000","2,798,000","372,000","3,081,000",
="0061","元大寶滬深      ","20,000","250,000","-230,000","0","0","0","3,404,000","2,601,000","803,000","1,568,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","2,406,000","1,250,000","1,156,000","94,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","35,402","34,000","1,402","32,598",
="0052","富邦科技        ","0","0","0","0","0","0","9,000","9,000","0","9,000",
="006208","富邦台50        ","0","0","0","0","0","0","8,000","8,000","0","8,000",
="0057","富邦摩台        ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="0058","富邦發達        ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="0053","元大電子        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0060","新台灣          ","2,000","0","2,000","0","0","0","1,000","1,000","0","3,000",
="0059","富邦金融        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="006207","FH滬深          ","2,000","0","2,000","0","0","0","373,000","0","373,000","-371,000",
="006205","富邦上証        ","6,000","0","6,000","0","100,000","-100,000","8,659,000","4,082,000","4,577,000","-589,000",
="006206","元大上證50      ","0","0","0","0","0","0","9,345,000","3,657,000","5,688,000","-2,031,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
