"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0061","元大寶滬深      ","30,000","5,615,000","-5,585,000","0","0","0","23,553,000","15,387,000","8,166,000","1,636,000",
="0054","元大台商50      ","6,000","0","6,000","0","0","0","26,000","25,000","1,000","30,000",
="0053","元大電子        ","3,000","0","3,000","0","0","0","13,000","8,000","5,000","6,000",
="0059","富邦金融        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="006208","富邦台50        ","0","0","0","0","0","0","2,000","1,000","1,000","0",
="0060","新台灣          ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0052","富邦科技        ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0051","元大中型100     ","9,000","0","9,000","0","0","0","20,000","4,000","16,000","-3,000",
="0057","富邦摩台        ","0","0","0","0","0","0","199,000","98,000","101,000","-3,000",
="0058","富邦發達        ","0","0","0","0","0","0","3,000","0","3,000","-3,000",
="006203","元大MSCI台灣    ","2,000","0","2,000","0","0","0","7,000","1,000","6,000","-3,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","29,458","10,000","19,458","-9,458",
="0055","元大MSCI金融    ","0","0","0","0","0","0","950,000","301,000","649,000","-348,000",
="0056","元大高股息      ","0","19,000","-19,000","0","0","0","753,000","81,000","672,000","-610,000",
="006205","富邦上証        ","0","0","0","0","0","0","15,353,000","6,486,000","8,867,000","-2,381,000",
="006207","FH滬深          ","0","700,000","-700,000","70,000","0","70,000","7,628,000","2,439,000","5,189,000","-3,380,000",
="006206","元大上證50      ","0","0","0","0","0","0","14,107,000","3,853,000","10,254,000","-6,401,000",
="0050","元大台灣50      ","1,403,000","8,797,000","-7,394,000","0","0","0","7,015,000","3,857,000","3,158,000","-6,695,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
