"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","4,872,000","29,000","4,843,000","0","0","0","1,513,000","1,079,000","434,000","5,488,000",
="0055","元大MSCI金融    ","512,000","0","512,000","0","0","0","1,022,000","982,000","40,000","1,454,000",
="0061","元大寶滬深      ","0","913,000","-913,000","0","0","0","5,779,000","3,654,000","2,125,000","616,000",
="0056","元大高股息      ","0","0","0","0","0","0","630,000","616,000","14,000","602,000",
="006203","元大MSCI台灣    ","20,000","8,000","12,000","0","0","0","53,000","53,000","0","65,000",
="0051","元大中型100     ","0","0","0","0","0","0","31,000","31,000","0","31,000",
="0054","元大台商50      ","0","0","0","0","0","0","25,000","25,000","0","25,000",
="0060","新台灣          ","0","0","0","0","0","0","6,000","6,000","0","6,000",
="0057","富邦摩台        ","0","1,000","-1,000","0","0","0","80,000","43,000","37,000","5,000",
="0053","元大電子        ","0","1,000","-1,000","0","0","0","4,000","4,000","0","3,000",
="006208","富邦台50        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","99,000","51,000","48,000","3,000",
="0052","富邦科技        ","0","0","0","0","0","0","5,000","2,000","3,000","-1,000",
="0059","富邦金融        ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006207","FH滬深          ","12,000","0","12,000","0","0","0","684,000","137,000","547,000","-398,000",
="006205","富邦上証        ","0","0","0","0","80,000","-80,000","4,967,000","1,937,000","3,030,000","-1,173,000",
="006206","元大上證50      ","0","87,000","-87,000","0","0","0","3,775,000","1,344,000","2,431,000","-1,174,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
