"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00634R","富邦上証反1     ","80,000","13,926,000","-13,846,000","1,000,000","0","1,000,000","22,983,000","3,149,000","581,000","2,568,000","28,873,000","8,458,000","20,415,000","10,137,000",
="006206","元大上證50      ","22,000","0","22,000","0","540,000","-540,000","9,731,000","453,000","50,000","403,000","18,323,000","8,995,000","9,328,000","9,213,000",
="006205","富邦上証        ","0","104,000","-104,000","0","1,425,000","-1,425,000","9,003,000","905,000","500,000","405,000","15,524,000","6,926,000","8,598,000","7,474,000",
="00636","國泰中國A50     ","0","708,000","-708,000","0","0","0","6,060,000","0","150,000","-150,000","20,434,000","14,224,000","6,210,000","5,352,000",
="00639","富邦深100       ","0","203,000","-203,000","1,400,000","1,804,000","-404,000","5,402,000","0","0","0","8,245,000","2,843,000","5,402,000","4,795,000",
="006207","FH滬深          ","20,000","0","20,000","0","1,370,000","-1,370,000","5,302,000","596,000","0","596,000","11,999,000","7,293,000","4,706,000","3,952,000",
="008201","BP上證50        ","0","0","0","0","0","0","240,000","0","0","0","255,700","15,700","240,000","240,000",
="006203","元大MSCI台灣    ","2,000","528,000","-526,000","0","0","0","539,000","0","0","0","550,000","11,000","539,000","13,000",
="0057","富邦摩台        ","0","0","0","0","0","0","9,000","0","0","0","884,000","875,000","9,000","9,000",
="0054","元大台商50      ","0","2,000","-2,000","0","0","0","7,000","0","0","0","22,000","15,000","7,000","5,000",
="0052","富邦科技        ","0","1,000","-1,000","0","0","0","5,000","0","0","0","23,000","18,000","5,000","4,000",
="006208","富邦台50        ","0","0","0","0","0","0","2,000","0","0","0","14,000","12,000","2,000","2,000",
="0053","元大電子        ","0","1,000","-1,000","0","0","0","2,000","0","0","0","31,000","29,000","2,000","1,000",
="0058","富邦發達        ","0","0","0","0","0","0","0","0","0","0","27,000","27,000","0","0",
="0059","富邦金融        ","0","0","0","0","0","0","-2,000","0","0","0","46,000","48,000","-2,000","-2,000",
="0060","新台灣          ","0","0","0","0","0","0","-3,000","0","0","0","10,000","13,000","-3,000","-3,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","-16,179","0","0","0","26,000","42,179","-16,179","-16,179",
="0055","元大MSCI金融    ","0","0","0","0","140,000","-140,000","50,000","0","0","0","1,171,000","1,121,000","50,000","-90,000",
="0051","元大中型100     ","0","98,000","-98,000","0","0","0","-37,000","0","0","0","10,000","47,000","-37,000","-135,000",
="00638R","元大滬深300反1  ","0","0","0","0","0","0","-515,000","0","0","0","11,293,000","11,808,000","-515,000","-515,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","-1,054,000","0","0","0","84,000","1,138,000","-1,054,000","-1,054,000",
="00633L","富邦上証正2     ","20,000","34,000","-14,000","0","0","0","-1,841,000","12,000","0","12,000","40,849,000","42,702,000","-1,853,000","-1,855,000",
="0061","元大寶滬深      ","2,716,000","2,000","2,714,000","0","1,380,000","-1,380,000","-6,171,000","81,000","896,000","-815,000","10,137,000","15,493,000","-5,356,000","-4,837,000",
="00637L","元大滬深300正2  ","470,000","104,000","366,000","0","0","0","-5,305,000","0","0","0","76,719,000","82,024,000","-5,305,000","-4,939,000",
="00632R","元大台灣50反1   ","3,042,000","9,369,000","-6,327,000","1,717,000","50,000","1,667,000","-4,475,000","264,000","5,372,000","-5,108,000","17,340,000","16,707,000","633,000","-9,135,000",
="0056","元大高股息      ","11,000","241,000","-230,000","0","0","0","-11,512,000","0","0","0","359,000","11,871,000","-11,512,000","-11,742,000",
="00631L","元大台灣50正2   ","1,000","25,000","-24,000","0","0","0","-12,003,000","350,000","1,015,000","-665,000","3,895,000","15,233,000","-11,338,000","-12,027,000",
="0050","元大台灣50      ","4,452,000","30,318,500","-25,866,500","0","0","0","-8,070,000","4,733,000","1,477,000","3,256,000","5,565,000","16,891,000","-11,326,000","-33,936,500",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
