"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00634R","富邦上証反1     ","0","0","0","0","0","0","5,670,000","1,360,000","680,000","680,000","14,191,000","9,201,000","4,990,000","5,670,000",
="00638R","元大滬深300反1  ","0","0","0","0","0","0","964,000","0","0","0","9,010,000","8,046,000","964,000","964,000",
="0061","元大寶滬深      ","787,000","20,000","767,000","0","0","0","38,000","0","0","0","4,087,000","4,049,000","38,000","805,000",
="00636","國泰中國A50     ","0","0","0","0","0","0","607,000","200,000","20,000","180,000","12,093,000","11,666,000","427,000","607,000",
="006205","富邦上証        ","14,000","0","14,000","373,000","600,000","-227,000","310,000","20,000","10,000","10,000","6,751,000","6,451,000","300,000","97,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","68,000","0","0","0","2,138,000","2,070,000","68,000","68,000",
="0054","元大台商50      ","0","0","0","0","0","0","40,000","0","0","0","41,000","1,000","40,000","40,000",
="008201","BP上證50        ","0","0","0","0","0","0","18,300","0","0","0","18,400","100","18,300","18,300",
="0060","新台灣          ","0","0","0","0","0","0","7,000","0","0","0","8,000","1,000","7,000","7,000",
="0059","富邦金融        ","0","0","0","0","0","0","3,000","0","0","0","27,000","24,000","3,000","3,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","287","0","0","0","2,000","1,713","287","287",
="0058","富邦發達        ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","0",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","0",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","0","109,000","109,000","0","0",
="0080","恒中國          ","0","0","0","0","400","-400","0","0","0","0","0","0","0","-400",
="0053","元大電子        ","0","0","0","0","0","0","-2,000","0","0","0","1,000","3,000","-2,000","-2,000",
="0057","富邦摩台        ","0","0","0","0","0","0","-22,000","0","0","0","3,000","25,000","-22,000","-22,000",
="0051","元大中型100     ","0","0","0","0","0","0","-23,000","0","0","0","0","23,000","-23,000","-23,000",
="006206","元大上證50      ","500,000","300,000","200,000","0","0","0","-234,000","598,000","440,000","158,000","11,547,000","11,939,000","-392,000","-34,000",
="0056","元大高股息      ","0","0","0","0","0","0","-193,000","0","0","0","0","193,000","-193,000","-193,000",
="0055","元大MSCI金融    ","0","0","0","0","450,000","-450,000","213,000","0","75,000","-75,000","310,000","22,000","288,000","-237,000",
="00631L","元大台灣50正2   ","0","0","0","0","0","0","-967,000","320,000","112,000","208,000","177,000","1,352,000","-1,175,000","-967,000",
="00633L","富邦上証正2     ","1,000","109,000","-108,000","0","0","0","-1,027,000","192,000","46,000","146,000","6,501,000","7,674,000","-1,173,000","-1,135,000",
="00632R","元大台灣50反1   ","447,000","0","447,000","0","126,000","-126,000","-1,489,000","250,000","2,250,000","-2,000,000","2,470,000","1,959,000","511,000","-1,168,000",
="006207","FH滬深          ","0","0","0","1,600,000","311,000","1,289,000","-2,740,000","110,000","105,000","5,000","2,225,000","4,970,000","-2,745,000","-1,451,000",
="0050","元大台灣50      ","4,000","2,662,000","-2,658,000","128,000","500,000","-372,000","-1,163,000","196,000","150,000","46,000","2,239,000","3,448,000","-1,209,000","-4,193,000",
="00637L","元大滬深300正2  ","20,000","25,000","-5,000","0","0","0","-20,632,000","155,000","0","155,000","32,325,000","53,112,000","-20,787,000","-20,637,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
