"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","10,000","9,000","1,000","8,000",
="0059","富邦金融        ","0","0","0","0","0","0","18,000","10,000","8,000","2,000",
="0057","富邦摩台        ","400,000","0","400,000","198,000","0","198,000","1,013,000","208,000","805,000","1,000",
="0051","元大中型100     ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="0052","富邦科技        ","0","1,000","-1,000","0","0","0","5,000","2,000","3,000","-2,000",
="0060","新台灣          ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0058","富邦發達        ","0","0","0","0","0","0","4,000","0","4,000","-4,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","111,000","35,000","76,000","-41,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","291,203","23,000","268,203","-245,203",
="006207","FH滬深          ","113,000","145,000","-32,000","0","0","0","594,000","152,000","442,000","-322,000",
="006205","富邦上証        ","0","0","0","168,000","0","168,000","7,394,000","3,424,000","3,970,000","-378,000",
="0056","元大高股息      ","0","240,000","-240,000","0","0","0","1,003,000","0","1,003,000","-1,243,000",
="006206","元大上證50      ","100,000","250,000","-150,000","0","315,000","-315,000","5,882,000","2,532,000","3,350,000","-1,283,000",
="0050","元大台灣50      ","470,000","232,000","238,000","0","0","0","6,312,000","551,000","5,761,000","-4,972,000",
="0061","元大寶滬深      ","0","2,556,000","-2,556,000","0","0","0","8,457,000","2,670,000","5,787,000","-5,673,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
