"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00640L","富邦日本正2     ","2,421,000","100,000","2,321,000","0","0","0","5,498,000","2,636,000","0","2,636,000","3,004,000","142,000","2,862,000","7,819,000",
="00653L","富邦印度正2     ","0","0","0","0","0","0","691,000","379,000","60,000","319,000","1,279,000","907,000","372,000","691,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","670,000","0","0","0","1,942,000","1,272,000","670,000","670,000",
="0056","元大高股息      ","0","19,000","-19,000","0","0","0","525,000","0","64,000","-64,000","675,000","86,000","589,000","506,000",
="00645","富邦日本        ","0","0","0","0","0","0","371,000","0","0","0","2,005,000","1,634,000","371,000","371,000",
="00664R","國泰臺灣加權反1 ","1,289,000","1,815,000","-526,000","0","0","0","791,000","698,000","5,000","693,000","3,067,000","2,969,000","98,000","265,000",
="00652","富邦印度        ","0","0","0","0","0","0","218,000","0","0","0","701,000","483,000","218,000","218,000",
="00657","國泰日經225     ","0","0","0","0","0","0","135,000","0","0","0","200,000","65,000","135,000","135,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","31,000","165,000","0","165,000","50,000","184,000","-134,000","31,000",
="00661","元大日經225     ","0","0","0","0","0","0","26,000","0","0","0","128,000","102,000","26,000","26,000",
="00660","元大歐洲50      ","0","0","0","0","0","0","25,000","0","0","0","25,000","0","25,000","25,000",
="00659R","國泰日本反1     ","0","0","0","0","0","0","17,000","0","0","0","303,000","286,000","17,000","17,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","14,000","0","0","0","275,000","261,000","14,000","14,000",
="00646","元大S&P500      ","0","0","0","0","0","0","13,000","0","0","0","15,000","2,000","13,000","13,000",
="0058","富邦發達        ","0","0","0","0","0","0","4,000","0","0","0","4,000","0","4,000","4,000",
="0054","元大台商50      ","0","0","0","0","0","0","3,000","0","0","0","4,000","1,000","3,000","3,000",
="0051","元大中型100     ","0","0","0","0","0","0","2,000","0","0","0","2,000","0","2,000","2,000",
="0052","富邦科技        ","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","100,000","249,000","-149,000","269,000","120,000","149,000","0",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","0","0","9,000","-9,000","180,000","171,000","9,000","0",
="0055","元大MSCI金融    ","0","0","0","0","0","0","-3,000","0","0","0","3,000","6,000","-3,000","-3,000",
="00643K","群益深証中小+R  ","0","0","0","0","0","0","-6,000","50,000","56,000","-6,000","50,000","50,000","0","-6,000",
="00650L","FH香港正2       ","0","0","0","0","0","0","-10,000","0","6,000","-6,000","49,000","53,000","-4,000","-10,000",
="00649","FH香港          ","0","0","0","0","0","0","-26,000","0","0","0","59,000","85,000","-26,000","-26,000",
="006207","FH滬深          ","0","38,000","-38,000","0","0","0","8,000","0","0","0","446,000","438,000","8,000","-30,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","-30,000","0","143,000","-143,000","1,462,000","1,349,000","113,000","-30,000",
="00666R","富邦H股反1      ","0","0","0","0","0","0","-33,000","0","0","0","1,963,000","1,996,000","-33,000","-33,000",
="006206","元大上證50      ","61,000","0","61,000","0","0","0","-99,000","170,000","100,000","70,000","469,000","638,000","-169,000","-38,000",
="00638R","元大滬深300反1  ","0","119,000","-119,000","0","0","0","56,000","0","0","0","58,000","2,000","56,000","-63,000",
="00636","國泰中國A50     ","47,000","177,000","-130,000","0","0","0","62,000","0","0","0","693,000","631,000","62,000","-68,000",
="0050","元大台灣50      ","1,365,000","1,112,000","253,000","0","0","0","-371,000","10,000","0","10,000","1,653,000","2,034,000","-381,000","-118,000",
="00634R","富邦上証反1     ","2,000","187,000","-185,000","0","0","0","51,000","20,000","0","20,000","129,000","98,000","31,000","-134,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","-209,000","0","0","0","61,000","270,000","-209,000","-209,000",
="00633L","富邦上証正2     ","567,000","895,000","-328,000","0","0","0","29,000","350,000","20,000","330,000","6,198,000","6,499,000","-301,000","-299,000",
="00654R","富邦印度反1     ","0","1,000","-1,000","0","0","0","-374,000","0","0","0","544,000","918,000","-374,000","-375,000",
="00648R","元大S&P500反1   ","0","88,000","-88,000","0","0","0","-295,000","189,000","0","189,000","0","484,000","-484,000","-383,000",
="00665L","富邦H股正2      ","0","0","0","0","0","0","-393,000","0","0","0","1,835,000","2,228,000","-393,000","-393,000",
="00663L","國泰臺灣加權正2 ","161,000","0","161,000","0","0","0","-569,000","0","0","0","2,984,000","3,553,000","-569,000","-408,000",
="006205","富邦上証        ","0","104,000","-104,000","0","0","0","-456,000","38,000","400,000","-362,000","744,000","838,000","-94,000","-560,000",
="0061","元大寶滬深      ","2,000","0","2,000","0","0","0","-614,000","230,000","632,000","-402,000","732,000","944,000","-212,000","-612,000",
="00641R","富邦日本反1     ","2,000","0","2,000","0","0","0","-878,000","0","0","0","484,000","1,362,000","-878,000","-876,000",
="00631L","元大台灣50正2   ","224,000","34,000","190,000","0","0","0","-1,480,000","116,000","381,000","-265,000","1,072,000","2,287,000","-1,215,000","-1,290,000",
="00639","富邦深100       ","0","423,000","-423,000","0","0","0","-1,446,000","80,000","20,000","60,000","1,376,000","2,882,000","-1,506,000","-1,869,000",
="00655L","國泰中國A50正2  ","0","0","0","0","0","0","-2,256,000","0","0","0","1,042,000","3,298,000","-2,256,000","-2,256,000",
="00642U","元大S&P石油     ","1,000","630,000","-629,000","0","0","0","-2,683,000","90,000","546,000","-456,000","257,000","2,484,000","-2,227,000","-3,312,000",
="00637L","元大滬深300正2  ","3,000,000","197,000","2,803,000","0","0","0","-6,587,000","100,000","500,000","-400,000","6,841,000","13,028,000","-6,187,000","-3,784,000",
="00643","群益深証中小    ","0","0","0","0","0","0","-3,844,000","200,000","0","200,000","639,000","4,683,000","-4,044,000","-3,844,000",
="00632R","元大台灣50反1   ","2,507,000","1,750,000","757,000","0","0","0","-7,270,000","3,363,000","1,071,000","2,292,000","8,205,000","17,767,000","-9,562,000","-6,513,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
