"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00632R","元大台灣50反1   ","5,401,000","50,000","5,351,000","0","0","0","47,291,000","1,712,000","6,370,000","-4,658,000","54,017,000","2,068,000","51,949,000","52,642,000",
="00664R","國泰臺灣加權反1 ","819,000","0","819,000","0","0","0","2,365,000","600,000","335,000","265,000","2,655,000","555,000","2,100,000","3,184,000",
="00672L","元大S&P原油正2  ","1,000","248,000","-247,000","0","0","0","2,699,000","0","0","0","3,093,000","394,000","2,699,000","2,452,000",
="00642U","元大S&P石油     ","9,000","3,000","6,000","0","0","0","2,351,000","0","0","0","2,443,000","92,000","2,351,000","2,357,000",
="00676R","富邦臺灣加權反1 ","310,000","0","310,000","0","0","0","1,545,000","0","2,600,000","-2,600,000","6,962,000","2,817,000","4,145,000","1,855,000",
="00634R","富邦上証反1     ","134,000","0","134,000","0","0","0","790,000","0","0","0","790,000","0","790,000","924,000",
="00635U","元大S&P黃金     ","282,000","0","282,000","0","0","0","322,000","0","36,000","-36,000","566,000","208,000","358,000","604,000",
="00669R","國泰美國道瓊反1 ","105,000","0","105,000","0","0","0","383,000","0","0","0","780,000","397,000","383,000","488,000",
="00640L","富邦日本正2     ","0","0","0","0","0","0","484,000","0","0","0","805,000","321,000","484,000","484,000",
="00691R","兆豐藍籌30反1   ","0","0","0","0","0","0","167,000","0","0","0","318,000","151,000","167,000","167,000",
="00641R","富邦日本反1     ","1,000","0","1,000","0","0","0","151,000","0","0","0","742,000","591,000","151,000","152,000",
="00686R","群益臺灣加權反1 ","193,000","0","193,000","0","0","0","-69,000","0","0","0","2,237,000","2,306,000","-69,000","124,000",
="006206","元大上證50      ","1,000","0","1,000","0","0","0","118,000","197,000","532,000","-335,000","1,183,000","730,000","453,000","119,000",
="00688L","國泰20年美債正2 ","19,000","0","19,000","0","0","0","51,000","179,000","150,000","29,000","185,000","163,000","22,000","70,000",
="00666R","富邦H股反1      ","0","0","0","0","0","0","61,000","0","0","0","748,000","687,000","61,000","61,000",
="00680L","元大美債20正2   ","107,000","0","107,000","0","0","0","-63,000","0","0","0","81,000","144,000","-63,000","44,000",
="00689R","國泰20年美債反1 ","101,000","0","101,000","0","0","0","-64,000","7,000","0","7,000","110,000","181,000","-71,000","37,000",
="00646","元大S&P500      ","0","0","0","0","0","0","37,000","0","0","0","40,000","3,000","37,000","37,000",
="00636","國泰中國A50     ","123,000","3,000","120,000","0","0","0","-90,000","139,000","139,000","0","901,000","991,000","-90,000","30,000",
="0059","富邦金融        ","0","0","0","0","0","0","20,000","0","0","0","21,000","1,000","20,000","20,000",
="00658L","國泰日本正2     ","0","27,000","-27,000","0","0","0","41,000","0","0","0","193,000","152,000","41,000","14,000",
="006208","富邦台50        ","0","0","0","0","0","0","13,000","0","0","0","13,000","0","13,000","13,000",
="00652","富邦印度        ","0","0","0","0","0","0","7,000","0","0","0","198,000","191,000","7,000","7,000",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","3,000","0","0","0","6,000","3,000","3,000","3,000",
="00667","元大韓國        ","0","0","0","0","0","0","3,000","0","0","0","4,000","1,000","3,000","3,000",
="00645","富邦日本        ","0","0","0","0","0","0","2,000","0","0","0","3,000","1,000","2,000","2,000",
="00649","FH香港          ","0","0","0","0","0","0","1,000","0","0","0","199,000","198,000","1,000","1,000",
="0051","元大中型100     ","0","0","0","0","0","0","1,000","0","0","0","7,000","6,000","1,000","1,000",
="0054","元大台商50      ","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="00657","國泰日經225     ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="0057","富邦摩台        ","0","0","0","0","0","0","-1,000","0","0","0","1,000","2,000","-1,000","-1,000",
="00668","國泰美國道瓊    ","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","-2,000","0","0","0","121,000","123,000","-2,000","-2,000",
="00660","元大歐洲50      ","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="00681R","元大美債20反1   ","0","0","0","0","0","0","-3,000","0","0","0","1,000","4,000","-3,000","-3,000",
="00678","群益NBI生技     ","0","0","0","0","0","0","-5,000","0","0","0","1,000","6,000","-5,000","-5,000",
="00661","元大日經225     ","0","0","0","12,000","0","12,000","-18,000","0","0","0","0","18,000","-18,000","-6,000",
="00625K","富邦上証+R      ","0","0","0","0","0","0","-12,000","0","0","0","50,000","62,000","-12,000","-12,000",
="00684R","元大美元指數反1 ","0","0","0","0","0","0","-12,000","0","0","0","816,000","828,000","-12,000","-12,000",
="00674R","元大S&P黃金反1  ","0","1,000","-1,000","0","0","0","-12,000","0","5,000","-5,000","11,000","18,000","-7,000","-13,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","-17,000","0","0","0","22,000","39,000","-17,000","-17,000",
="00638R","元大滬深300反1  ","0","0","0","0","0","0","-20,000","0","0","0","30,000","50,000","-20,000","-20,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","-20,000","0","0","0","45,000","65,000","-20,000","-20,000",
="00682U","元大美元指數    ","0","0","0","0","0","0","-21,000","0","0","0","604,000","625,000","-21,000","-21,000",
="00643","群益深証中小    ","0","0","0","0","0","0","-26,000","0","350,000","-350,000","1,226,000","902,000","324,000","-26,000",
="00650L","FH香港正2       ","0","3,000","-3,000","0","0","0","-30,000","0","0","0","140,000","170,000","-30,000","-33,000",
="00659R","國泰日本反1     ","0","44,000","-44,000","0","0","0","-24,000","0","0","0","38,000","62,000","-24,000","-68,000",
="00654R","富邦印度反1     ","132,000","0","132,000","0","0","0","-214,000","0","132,000","-132,000","148,000","230,000","-82,000","-82,000",
="00656R","國泰中國A50反1  ","406,000","113,000","293,000","0","0","0","-383,000","0","0","0","58,000","441,000","-383,000","-90,000",
="00639","富邦深100       ","0","272,000","-272,000","0","0","0","176,000","130,000","107,000","23,000","1,005,000","852,000","153,000","-96,000",
="00683L","元大美元指數正2 ","0","0","0","0","0","0","-112,000","4,000","0","4,000","129,000","245,000","-116,000","-112,000",
="00655L","國泰中國A50正2  ","3,000","0","3,000","0","0","0","-179,000","100,000","0","100,000","357,000","636,000","-279,000","-176,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","-201,000","0","0","0","999,000","1,200,000","-201,000","-201,000",
="00671R","富邦NASDAQ反1   ","0","0","0","0","0","0","-218,000","0","0","0","1,136,000","1,354,000","-218,000","-218,000",
="006207","FH滬深          ","0","961,000","-961,000","0","0","0","705,000","0","70,000","-70,000","1,526,000","751,000","775,000","-256,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","-275,000","0","0","0","605,000","880,000","-275,000","-275,000",
="00653L","富邦印度正2     ","0","0","0","0","0","0","-282,000","0","0","0","310,000","592,000","-282,000","-282,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","-350,000","0","0","0","93,000","443,000","-350,000","-350,000",
="00663L","國泰臺灣加權正2 ","0","50,000","-50,000","0","0","0","-393,000","10,000","0","10,000","310,000","713,000","-403,000","-443,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","-613,000","0","0","0","426,000","1,039,000","-613,000","-613,000",
="00675L","富邦臺灣加權正2 ","0","0","0","0","0","0","-684,000","0","0","0","1,858,000","2,542,000","-684,000","-684,000",
="006205","富邦上証        ","1,000","686,000","-685,000","0","0","0","-119,000","54,000","93,000","-39,000","680,000","760,000","-80,000","-804,000",
="0061","元大寶滬深      ","0","595,000","-595,000","0","0","0","-242,000","206,000","30,000","176,000","548,000","966,000","-418,000","-837,000",
="00677U","富邦VIX         ","0","323,000","-323,000","0","0","0","-754,000","0","0","0","696,000","1,450,000","-754,000","-1,077,000",
="00673R","元大S&P原油反1  ","0","61,000","-61,000","0","0","0","-1,040,000","0","0","0","249,000","1,289,000","-1,040,000","-1,101,000",
="00631L","元大台灣50正2   ","50,000","385,000","-335,000","0","0","0","-2,082,000","76,000","10,000","66,000","415,000","2,563,000","-2,148,000","-2,417,000",
="0056","元大高股息      ","0","0","0","0","0","0","-2,980,000","21,000","0","21,000","0","3,001,000","-3,001,000","-2,980,000",
="00665L","富邦H股正2      ","0","1,112,000","-1,112,000","0","0","0","-2,876,000","0","0","0","692,000","3,568,000","-2,876,000","-3,988,000",
="0050","元大台灣50      ","314,000","7,460,000","-7,146,000","0","0","0","177,000","619,000","160,000","459,000","856,000","1,138,000","-282,000","-6,969,000",
="00633L","富邦上証正2     ","13,000","2,797,000","-2,784,000","0","0","0","-4,483,000","200,000","0","200,000","3,047,000","7,730,000","-4,683,000","-7,267,000",
="00637L","元大滬深300正2  ","23,000","1,826,000","-1,803,000","0","0","0","-12,198,000","42,000","0","42,000","5,403,000","17,643,000","-12,240,000","-14,001,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
