"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006205","富邦上証        ","0","0","0","0","1,800,000","-1,800,000","13,354,000","7,699,000","5,655,000","244,000",
="0053","元大電子        ","0","0","0","0","0","0","41,000","36,000","5,000","31,000",
="0054","元大台商50      ","0","0","0","0","0","0","35,000","27,000","8,000","19,000",
="006203","元大MSCI台灣    ","1,000","0","1,000","0","0","0","2,000","1,000","1,000","1,000",
="006208","富邦台50        ","0","0","0","0","0","0","2,000","1,000","1,000","0",
="008201","BP上證50        ","0","0","0","0","5,000","-5,000","0","0","0","-5,000",
="0057","富邦摩台        ","0","0","0","0","0","0","7,000","0","7,000","-7,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","15,235","0","15,235","-15,235",
="0055","元大MSCI金融    ","0","0","0","0","0","0","360,000","171,000","189,000","-18,000",
="0051","元大中型100     ","0","0","0","0","0","0","39,000","10,000","29,000","-19,000",
="006206","元大上證50      ","0","0","0","0","0","0","4,404,000","1,885,000","2,519,000","-634,000",
="006207","FH滬深          ","0","900,000","-900,000","286,000","0","286,000","7,041,000","2,462,000","4,579,000","-2,731,000",
="0061","元大寶滬深      ","20,000","1,000,000","-980,000","0","0","0","9,213,000","3,681,000","5,532,000","-2,831,000",
="0056","元大高股息      ","0","197,000","-197,000","0","0","0","3,044,000","0","3,044,000","-3,241,000",
="0050","元大台灣50      ","100,000","12,785,000","-12,685,000","145,000","0","145,000","10,265,000","6,722,000","3,543,000","-9,361,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
