"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006207","FH滬深          ","23,000","0","23,000","0","230,000","-230,000","757,000","699,000","58,000","434,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","253,000","233,000","20,000","213,000",
="006208","富邦台50        ","0","0","0","0","0","0","73,000","63,000","10,000","53,000",
="0057","富邦摩台        ","0","0","0","0","0","0","43,000","25,000","18,000","7,000",
="0053","元大電子        ","5,000","0","5,000","0","0","0","0","0","0","5,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0059","富邦金融        ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","80,000","10,000","70,000","-60,000",
="0061","元大寶滬深      ","87,000","205,000","-118,000","0","0","0","1,545,000","633,000","912,000","-397,000",
="006205","富邦上証        ","0","0","0","0","0","0","7,079,000","2,979,000","4,100,000","-1,121,000",
="0050","元大台灣50      ","499,000","92,000","407,000","0","0","0","4,245,000","1,325,000","2,920,000","-1,188,000",
="006206","元大上證50      ","0","640,000","-640,000","0","0","0","8,016,000","3,533,000","4,483,000","-1,590,000",
="0056","元大高股息      ","1,000","0","1,000","0","0","0","3,500,000","0","3,500,000","-3,499,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
