"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","742,000","0","742,000","0","0","0","7,955,000","6,120,000","1,835,000","5,027,000",
="0061","元大寶滬深      ","131,000","0","131,000","0","0","0","1,951,000","948,000","1,003,000","76,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","129,000","94,000","35,000","59,000",
="0053","元大電子        ","0","0","0","0","0","0","61,000","60,000","1,000","59,000",
="0057","富邦摩台        ","0","0","0","0","0","0","259,000","134,000","125,000","9,000",
="006208","富邦台50        ","0","0","0","0","0","0","9,000","9,000","0","9,000",
="0054","元大台商50      ","0","0","0","0","0","0","7,000","7,000","0","7,000",
="0060","新台灣          ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="0059","富邦金融        ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0052","富邦科技        ","0","0","0","0","0","0","19,000","1,000","18,000","-17,000",
="006207","FH滬深          ","0","0","0","0","300,000","-300,000","395,000","308,000","87,000","-79,000",
="0056","元大高股息      ","0","0","0","0","0","0","395,000","0","395,000","-395,000",
="006206","元大上證50      ","0","0","0","0","0","0","8,385,000","3,914,000","4,471,000","-557,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","823,000","55,000","768,000","-713,000",
="006205","富邦上証        ","0","0","0","0","0","0","7,978,000","3,547,000","4,431,000","-884,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
