"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","15,781,000","41,000","15,740,000","0","0","0","0","0","0","34,633,242","350,000","10,000","340,000","54,521,242","20,228,000","34,293,242","50,373,242",
="00633L","富邦上証正2     ","6,786,000","0","6,786,000","0","0","0","0","0","0","6,676,000","143,000","686,000","-543,000","10,360,000","3,141,000","7,219,000","13,462,000",
="00655L","國泰中國A50正2  ","2,851,000","0","2,851,000","0","0","0","0","0","0","4,368,000","0","12,000","-12,000","7,436,000","3,056,000","4,380,000","7,219,000",
="00642U","元大S&P石油     ","553,000","0","553,000","0","0","0","0","0","0","4,557,000","0","0","0","4,688,000","131,000","4,557,000","5,110,000",
="00672L","元大S&P原油正2  ","962,000","130,000","832,000","0","0","0","0","0","0","1,308,000","450,000","0","450,000","1,597,000","739,000","858,000","2,140,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","140,000","0","140,000","1,094,000","0","0","0","1,732,000","638,000","1,094,000","1,234,000",
="006207","FH滬深          ","588,000","0","588,000","0","0","0","0","0","0","255,000","103,000","3,000","100,000","287,000","132,000","155,000","843,000",
="00635U","元大S&P黃金     ","125,000","0","125,000","0","0","0","0","0","0","650,000","100,000","0","100,000","616,000","66,000","550,000","775,000",
="00708L","元大S&P黃金正2  ","0","373,000","-373,000","0","0","0","0","0","0","1,022,000","0","0","0","1,138,000","116,000","1,022,000","649,000",
="00645","富邦日本        ","0","0","0","0","0","0","0","0","0","316,000","0","0","0","430,000","114,000","316,000","316,000",
="00648R","元大S&P500反1   ","107,000","0","107,000","0","0","0","0","0","0","200,000","0","0","0","268,000","68,000","200,000","307,000",
="006206","元大上證50      ","252,000","126,000","126,000","0","0","0","0","0","0","140,133","0","10,000","-10,000","732,133","582,000","150,133","266,133",
="00671R","富邦NASDAQ反1   ","26,000","0","26,000","0","0","0","0","0","0","218,000","0","0","0","362,000","144,000","218,000","244,000",
="00705R","台新MSCI台灣反1 ","0","0","0","0","0","0","0","0","0","200,000","0","0","0","312,000","112,000","200,000","200,000",
="00638R","元大滬深300反1  ","0","0","0","0","0","0","0","0","0","163,000","0","0","0","375,000","212,000","163,000","163,000",
="00707R","元大S&P日圓反1  ","0","0","0","0","0","0","0","0","0","159,000","0","0","0","337,000","178,000","159,000","159,000",
="00665L","富邦H股正2      ","549,000","0","549,000","0","0","0","0","0","0","-401,000","0","0","0","72,000","473,000","-401,000","148,000",
="00675L","富邦臺灣加權正2 ","22,000","0","22,000","0","0","0","0","0","0","111,000","0","0","0","288,000","177,000","111,000","133,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","0","0","0","116,000","0","0","0","116,000","0","116,000","116,000",
="00634R","富邦上証反1     ","36,000","0","36,000","0","0","0","0","0","0","46,000","0","0","0","385,000","339,000","46,000","82,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","0","0","0","76,000","0","0","0","88,000","12,000","76,000","76,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","0","0","0","56,000","0","0","0","145,000","89,000","56,000","56,000",
="00706L","元大S&P日圓正2  ","0","0","0","0","0","0","0","0","0","36,000","0","0","0","83,000","47,000","36,000","36,000",
="00678","群益NBI生技     ","0","0","0","0","0","0","0","0","0","25,000","0","0","0","326,000","301,000","25,000","25,000",
="00652","富邦印度        ","0","0","0","0","0","0","0","0","0","22,000","0","0","0","27,000","5,000","22,000","22,000",
="008201","BP上證50        ","0","0","0","0","0","0","0","0","0","17,000","0","0","0","17,000","0","17,000","17,000",
="00700","富邦H股         ","44,000","0","44,000","0","0","0","0","0","0","-28,000","0","0","0","235,000","263,000","-28,000","16,000",
="00660","元大歐洲50      ","16,000","0","16,000","0","0","0","0","0","0","0","0","0","0","0","0","0","16,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","0","0","0","15,000","0","0","0","19,000","4,000","15,000","15,000",
="00677U","富邦VIX         ","69,000","0","69,000","0","0","0","0","0","0","-55,000","0","0","0","140,000","195,000","-55,000","14,000",
="00646","元大S&P500      ","51,000","0","51,000","0","0","0","0","0","0","-39,000","0","0","0","10,000","49,000","-39,000","12,000",
="0059","富邦金融        ","0","0","0","0","0","0","0","0","0","9,000","0","0","0","9,000","0","9,000","9,000",
="00668","國泰美國道瓊    ","0","0","0","0","0","0","0","0","0","8,000","0","0","0","53,000","45,000","8,000","8,000",
="00716R","華頓S&P布蘭特反1","0","0","0","0","0","0","0","0","0","7,000","0","0","0","430,000","423,000","7,000","7,000",
="00704L","台新MSCI台灣正2 ","0","0","0","0","0","0","0","0","0","5,000","0","0","0","121,000","116,000","5,000","5,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","0","0","0","3,000","0","0","0","49,000","46,000","3,000","3,000",
="0054","元大台商50      ","0","0","0","0","0","0","0","0","0","3,000","0","0","0","3,000","0","3,000","3,000",
="0051","元大中型100     ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="0057","富邦摩台        ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="00657","國泰日經225     ","71,000","0","71,000","0","0","0","0","0","0","-70,000","0","0","0","22,000","92,000","-70,000","1,000",
="00661","元大日經225     ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","7,000","6,000","1,000","1,000",
="00636K","國泰中國A50+U   ","0","0","0","0","0","0","0","0","0","100","0","0","0","160,200","160,100","100","100",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
