"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0061","元大寶滬深      ","6,981,000","500,000","6,481,000","0","600,000","-600,000","33,872,000","28,836,000","5,036,000","29,681,000",
="0050","元大台灣50      ","2,354,000","24,000","2,330,000","0","0","0","4,892,000","3,533,000","1,359,000","4,504,000",
="006205","富邦上証        ","193,000","100,000","93,000","0","0","0","23,711,000","13,903,000","9,808,000","4,188,000",
="006206","元大上證50      ","750,000","0","750,000","0","0","0","10,913,000","6,724,000","4,189,000","3,285,000",
="006207","FH滬深          ","3,000","10,000","-7,000","0","0","0","10,450,000","6,145,000","4,305,000","1,833,000",
="00633L","富邦上証正2     ","0","0","0","0","0","0","28,117,000","14,623,000","13,494,000","1,129,000",
="00634R","富邦上証反1     ","0","0","0","0","0","0","9,951,000","5,096,000","4,855,000","241,000",
="0060","新台灣          ","0","0","0","0","0","0","41,000","40,000","1,000","39,000",
="0053","元大電子        ","0","0","0","0","0","0","55,000","42,000","13,000","29,000",
="0054","元大台商50      ","0","0","0","0","0","0","23,000","22,000","1,000","21,000",
="0057","富邦摩台        ","0","0","0","0","0","0","4,000","3,000","1,000","2,000",
="006208","富邦台50        ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0059","富邦金融        ","0","0","0","0","0","0","4,000","1,000","3,000","-2,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","7,000","2,000","5,000","-3,000",
="0051","元大中型100     ","0","0","0","0","0","0","17,000","0","17,000","-17,000",
="0055","元大MSCI金融    ","0","0","0","0","65,000","-65,000","111,000","14,000","97,000","-148,000",
="00631L","元大台灣50正2   ","0","0","0","1,580,000","0","1,580,000","10,185,000","4,147,000","6,038,000","-311,000",
="00632R","元大台灣50反1   ","0","0","0","0","0","0","2,172,000","781,000","1,391,000","-610,000",
="0056","元大高股息      ","0","179,000","-179,000","0","0","0","600,000","0","600,000","-779,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
