"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","867,000","399,000","468,000","0","0","0","10,631,000","8,095,000","2,536,000","6,027,000",
="0061","元大寶滬深      ","1,154,000","200,000","954,000","0","0","0","11,370,000","7,582,000","3,788,000","4,748,000",
="006206","元大上證50      ","985,000","53,000","932,000","0","0","0","2,572,000","1,654,000","918,000","1,668,000",
="0056","元大高股息      ","0","0","0","0","0","0","862,000","736,000","126,000","610,000",
="006205","富邦上証        ","61,000","20,000","41,000","0","25,000","-25,000","7,388,000","3,912,000","3,476,000","452,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","1,366,000","907,000","459,000","448,000",
="006204","永豐臺灣加權    ","1,000","0","1,000","0","0","0","466,000","338,000","128,000","211,000",
="0053","元大電子        ","10,000","0","10,000","0","0","0","99,000","99,000","0","109,000",
="0054","元大台商50      ","0","0","0","0","0","0","61,000","61,000","0","61,000",
="0051","元大中型100     ","1,000","0","1,000","0","0","0","46,000","46,000","0","47,000",
="0059","富邦金融        ","0","0","0","0","0","0","38,000","38,000","0","38,000",
="006208","富邦台50        ","0","0","0","0","0","0","16,000","15,000","1,000","14,000",
="0060","新台灣          ","0","0","0","0","0","0","8,000","8,000","0","8,000",
="0058","富邦發達        ","0","0","0","0","0","0","9,000","7,000","2,000","5,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="0080","恒中國          ","2,800","0","2,800","0","0","0","0","0","0","2,800",
="0052","富邦科技        ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006207","FH滬深          ","1,092,000","27,000","1,065,000","0","0","0","1,866,000","86,000","1,780,000","-629,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
