"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0061","元大寶滬深      ","2,000","0","2,000","0","219,000","-219,000","22,717,000","15,350,000","7,367,000","7,766,000",
="006205","富邦上証        ","206,000","0","206,000","0","2,676,000","-2,676,000","17,584,000","10,811,000","6,773,000","1,568,000",
="006207","FH滬深          ","0","0","0","0","0","0","13,965,000","7,688,000","6,277,000","1,411,000",
="006206","元大上證50      ","12,000","0","12,000","0","0","0","11,195,000","5,825,000","5,370,000","467,000",
="0055","元大MSCI金融    ","6,000","200,000","-194,000","0","0","0","1,410,000","988,000","422,000","372,000",
="0057","富邦摩台        ","0","100,000","-100,000","0","0","0","188,000","149,000","39,000","10,000",
="0054","元大台商50      ","2,000","0","2,000","0","0","0","5,000","4,000","1,000","5,000",
="0053","元大電子        ","41,000","0","41,000","0","0","0","55,000","9,000","46,000","4,000",
="0051","元大中型100     ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="0052","富邦科技        ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="0060","新台灣          ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="006203","元大MSCI台灣    ","1,000","0","1,000","0","0","0","1,000","0","1,000","0",
="006204","永豐臺灣加權    ","46,000","0","46,000","0","0","0","58,000","5,000","53,000","-2,000",
="006208","富邦台50        ","0","0","0","0","0","0","4,000","0","4,000","-4,000",
="0056","元大高股息      ","1,000","0","1,000","0","0","0","2,034,000","20,000","2,014,000","-1,993,000",
="0050","元大台灣50      ","14,000","2,441,000","-2,427,000","210,000","0","210,000","4,851,000","1,938,000","2,913,000","-3,192,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
