"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00642U","元大S&P石油     ","5,087,000","132,000","4,955,000","20,000","0","20,000","4,941,000","200,000","50,000","150,000","9,808,000","5,017,000","4,791,000","9,916,000",
="0050","元大台灣50      ","15,788,000","2,952,000","12,836,000","0","238,000","-238,000","-4,447,000","62,000","1,482,000","-1,420,000","471,000","3,498,000","-3,027,000","8,151,000",
="00640L","富邦日本正2     ","0","0","0","0","0","0","3,300,000","234,000","0","234,000","4,595,000","1,529,000","3,066,000","3,300,000",
="00634R","富邦上証反1     ","1,604,000","0","1,604,000","0","0","0","524,000","10,000","0","10,000","2,897,000","2,383,000","514,000","2,128,000",
="00639","富邦深100       ","95,000","2,000","93,000","0","0","0","1,212,000","565,000","90,000","475,000","1,530,000","793,000","737,000","1,305,000",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","914,000","0","0","0","1,436,000","522,000","914,000","914,000",
="00631L","元大台灣50正2   ","0","1,000","-1,000","0","0","0","910,000","192,000","345,000","-153,000","1,852,000","789,000","1,063,000","909,000",
="00649","FH香港          ","0","0","0","0","0","0","607,000","0","0","0","1,892,000","1,285,000","607,000","607,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","535,000","0","0","0","893,000","358,000","535,000","535,000",
="00638R","元大滬深300反1  ","380,000","0","380,000","0","0","0","92,000","0","0","0","924,000","832,000","92,000","472,000",
="00645","富邦日本        ","0","0","0","0","0","0","396,000","0","0","0","1,043,000","647,000","396,000","396,000",
="00646","元大S&P500      ","0","0","0","0","0","0","199,000","0","0","0","466,000","267,000","199,000","199,000",
="00650L","FH香港正2       ","0","0","0","0","0","0","173,000","0","0","0","410,000","237,000","173,000","173,000",
="0056","元大高股息      ","1,000","0","1,000","0","0","0","70,000","0","0","0","70,000","0","70,000","71,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","70,000","0","0","0","167,000","97,000","70,000","70,000",
="0055","元大MSCI金融    ","0","1,000","-1,000","0","0","0","48,000","0","0","0","58,000","10,000","48,000","47,000",
="0053","元大電子        ","0","0","0","0","0","0","27,000","0","0","0","27,000","0","27,000","27,000",
="00643","群益深証中小    ","0","0","0","0","0","0","27,000","30,000","0","30,000","184,000","187,000","-3,000","27,000",
="008201","BP上證50        ","0","0","0","0","0","0","18,000","0","0","0","18,000","0","18,000","18,000",
="0054","元大台商50      ","0","0","0","0","0","0","11,000","0","0","0","11,000","0","11,000","11,000",
="0051","元大中型100     ","1,000","0","1,000","0","0","0","9,000","0","0","0","12,000","3,000","9,000","10,000",
="006203","元大MSCI台灣    ","45,000","0","45,000","0","0","0","-37,000","0","0","0","8,000","45,000","-37,000","8,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","4,000","0","0","0","4,000","0","4,000","4,000",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","0",
="0057","富邦摩台        ","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0058","富邦發達        ","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0059","富邦金融        ","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="00636","國泰中國A50     ","0","0","0","0","0","0","-182,069","60,000","3,000","57,000","1,198,000","1,437,069","-239,069","-182,069",
="00641R","富邦日本反1     ","0","0","0","0","0","0","-264,000","15,000","0","15,000","737,000","1,016,000","-279,000","-264,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","-1,692,000","120,000","140,000","-20,000","131,000","1,803,000","-1,672,000","-1,692,000",
="0061","元大寶滬深      ","100,000","170,000","-70,000","0","0","0","-1,957,000","445,000","330,000","115,000","485,000","2,557,000","-2,072,000","-2,027,000",
="006206","元大上證50      ","0","0","0","0","0","0","-2,981,000","1,000","0","1,000","1,017,000","3,999,000","-2,982,000","-2,981,000",
="006207","FH滬深          ","200,000","0","200,000","100,000","380,000","-280,000","-7,994,000","24,000","80,000","-56,000","14,000","7,952,000","-7,938,000","-8,074,000",
="006205","富邦上証        ","1,000","63,000","-62,000","57,000","0","57,000","-11,796,000","1,891,000","622,000","1,269,000","1,343,000","14,408,000","-13,065,000","-11,801,000",
="00633L","富邦上証正2     ","34,000","4,198,000","-4,164,000","0","150,000","-150,000","-40,817,000","609,000","57,000","552,000","18,093,000","59,462,000","-41,369,000","-45,131,000",
="00632R","元大台灣50反1   ","861,000","18,025,000","-17,164,000","0","0","0","-29,704,000","5,076,000","1,041,000","4,035,000","5,220,000","38,959,000","-33,739,000","-46,868,000",
="00637L","元大滬深300正2  ","70,000","1,208,000","-1,138,000","31,000","0","31,000","-75,758,000","530,000","0","530,000","21,531,000","97,819,000","-76,288,000","-76,865,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
