"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006207","FH滬深          ","0","0","0","0","0","0","11,505,000","6,510,000","4,995,000","1,515,000",
="006206","元大上證50      ","0","0","0","0","0","0","7,164,000","3,959,000","3,205,000","754,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","166,000","165,000","1,000","164,000",
="0051","元大中型100     ","0","0","0","0","0","0","17,000","9,000","8,000","1,000",
="0054","元大台商50      ","0","0","0","0","0","0","2,000","1,000","1,000","0",
="006203","元大MSCI台灣    ","290,121,000","290,120,000","1,000","0","0","0","5,000","2,000","3,000","0",
="0060","新台灣          ","0","0","0","0","0","0","3,000","0","3,000","-3,000",
="0058","富邦發達        ","0","0","0","0","0","0","4,000","0","4,000","-4,000",
="0059","富邦金融        ","0","0","0","0","0","0","7,000","0","7,000","-7,000",
="0057","富邦摩台        ","0","0","0","0","0","0","19,000","6,000","13,000","-7,000",
="0053","元大電子        ","0","0","0","0","0","0","12,000","2,000","10,000","-8,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","16,800","1,000","15,800","-14,800",
="0061","元大寶滬深      ","20,000","31,000","-11,000","0","0","0","17,040,000","8,283,000","8,757,000","-485,000",
="006205","富邦上証        ","0","0","0","0","0","0","12,025,000","5,723,000","6,302,000","-579,000",
="0056","元大高股息      ","0","0","0","0","0","0","3,881,000","1,000","3,880,000","-3,879,000",
="0050","元大台灣50      ","100,000","7,399,000","-7,299,000","0","96,000","-96,000","7,983,000","2,203,000","5,780,000","-10,972,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
