"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006205","富邦上証        ","250,000","0","250,000","0","0","0","8,542,000","4,742,000","3,800,000","1,192,000",
="006206","元大上證50      ","160,000","0","160,000","0","0","0","1,643,000","1,275,000","368,000","1,067,000",
="00632R","元大台灣50反1   ","0","0","0","0","0","0","5,699,000","3,208,000","2,491,000","717,000",
="006207","FH滬深          ","0","0","0","0","0","0","2,347,000","1,401,000","946,000","455,000",
="0055","元大MSCI金融    ","0","0","0","0","30,000","-30,000","80,000","77,000","3,000","44,000",
="0059","富邦金融        ","0","0","0","0","0","0","43,000","42,000","1,000","41,000",
="0053","元大電子        ","50,000","0","50,000","0","0","0","25,000","1,000","24,000","27,000",
="006203","元大MSCI台灣    ","10,000","0","10,000","0","0","0","11,000","10,000","1,000","19,000",
="006208","富邦台50        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0052","富邦科技        ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006204","永豐臺灣加權    ","49,000","0","49,000","0","0","0","54,005","1,000","53,005","-3,005",
="0057","富邦摩台        ","0","50,000","-50,000","0","0","0","63,000","51,000","12,000","-11,000",
="0051","元大中型100     ","0","0","0","0","0","0","59,000","13,000","46,000","-33,000",
="0056","元大高股息      ","0","0","0","0","0","0","553,000","22,000","531,000","-509,000",
="0061","元大寶滬深      ","450,000","0","450,000","0","600,000","-600,000","15,870,000","7,592,000","8,278,000","-836,000",
="0050","元大台灣50      ","10,420,000","460,000","9,960,000","50,000","0","50,000","16,485,000","1,428,000","15,057,000","-3,619,000",
="00631L","元大台灣50正2   ","10,000","0","10,000","0","0","0","10,609,000","3,385,000","7,224,000","-3,829,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
