"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0061","元大寶滬深      ","510,000","0","510,000","0","0","0","12,515,000","8,964,000","3,551,000","5,923,000",
="0050","元大台灣50      ","5,519,000","0","5,519,000","0","0","0","7,418,000","3,075,000","4,343,000","4,251,000",
="006205","富邦上証        ","530,000","1,053,000","-523,000","5,800,000","0","5,800,000","10,667,000","4,498,000","6,169,000","3,606,000",
="00631L","元大台灣50正2   ","0","0","0","0","0","0","5,114,000","2,773,000","2,341,000","432,000",
="006206","元大上證50      ","0","436,000","-436,000","0","0","0","6,085,000","3,351,000","2,734,000","181,000",
="006207","FH滬深          ","1,000","0","1,000","0","0","0","2,481,000","1,320,000","1,161,000","160,000",
="0053","元大電子        ","2,000","0","2,000","0","0","0","54,000","46,000","8,000","40,000",
="0059","富邦金融        ","0","0","0","0","0","0","21,000","21,000","0","21,000",
="006208","富邦台50        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0058","富邦發達        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","8,000","5,000","3,000","2,000",
="0056","元大高股息      ","0","0","0","0","0","0","44,000","22,000","22,000","0",
="0057","富邦摩台        ","50,000","0","50,000","0","0","0","50,000","0","50,000","0",
="0054","元大台商50      ","0","0","0","0","0","0","6,000","3,000","3,000","0",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","2,000","1,000","1,000","0",
="0051","元大中型100     ","0","0","0","0","0","0","6,000","1,000","5,000","-4,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","1,030,000","271,000","759,000","-488,000",
="00632R","元大台灣50反1   ","25,000","0","25,000","0","0","0","4,195,000","1,449,000","2,746,000","-1,272,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
