"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","6,417,000","0","6,417,000","0","0","0","7,309,000","5,340,000","1,969,000","9,788,000",
="0061","元大寶滬深      ","3,500,000","3,007,000","493,000","0","0","0","4,551,000","3,378,000","1,173,000","2,698,000",
="0056","元大高股息      ","0","0","0","0","0","0","1,414,000","1,414,000","0","1,414,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","790,000","790,000","0","790,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","334,000","270,000","64,000","206,000",
="0058","富邦發達        ","0","0","0","0","0","0","158,000","158,000","0","158,000",
="0054","元大台商50      ","3,000","0","3,000","0","0","0","61,000","61,000","0","64,000",
="0053","元大電子        ","2,000","0","2,000","0","0","0","39,000","39,000","0","41,000",
="006208","富邦台50        ","0","0","0","0","0","0","14,000","14,000","0","14,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","7,000","7,000","0","7,000",
="0057","富邦摩台        ","0","0","0","0","0","0","128,000","66,000","62,000","4,000",
="0059","富邦金融        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0051","元大中型100     ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0052","富邦科技        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="0060","新台灣          ","0","0","0","0","0","0","1,000","0","1,000","-1,000",
="006207","FH滬深          ","0","0","0","0","0","0","773,000","136,000","637,000","-501,000",
="006206","元大上證50      ","0","0","0","0","0","0","1,661,000","537,000","1,124,000","-587,000",
="006205","富邦上証        ","0","1,000,000","-1,000,000","0","0","0","5,688,000","2,640,000","3,048,000","-1,408,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
