"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","14,716,000","10,000","14,706,000","0","0","0","6,513,000","4,376,000","2,137,000","16,945,000",
="006206","元大上證50      ","0","0","0","0","0","0","8,115,000","5,181,000","2,934,000","2,247,000",
="0056","元大高股息      ","216,000","0","216,000","0","0","0","1,734,000","1,734,000","0","1,950,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","2,669,000","1,804,000","865,000","939,000",
="006205","富邦上証        ","1,000","0","1,000","0","0","0","9,760,000","5,054,000","4,706,000","349,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","170,250","139,000","31,250","107,750",
="0055","元大MSCI金融    ","0","0","0","0","0","0","88,000","86,000","2,000","84,000",
="0053","元大電子        ","27,000","0","27,000","0","0","0","2,000","2,000","0","29,000",
="0054","元大台商50      ","0","0","0","0","0","0","27,000","27,000","0","27,000",
="006203","元大MSCI台灣    ","6,000","0","6,000","0","0","0","14,000","14,000","0","20,000",
="006208","富邦台50        ","0","0","0","0","0","0","17,000","17,000","0","17,000",
="0052","富邦科技        ","0","0","0","0","0","0","10,000","10,000","0","10,000",
="0051","元大中型100     ","11,000","0","11,000","0","0","0","3,000","0","3,000","8,000",
="0057","富邦摩台        ","0","0","0","0","0","0","6,000","5,000","1,000","4,000",
="0059","富邦金融        ","0","0","0","0","0","0","8,000","0","8,000","-8,000",
="006207","FH滬深          ","0","0","0","0","0","0","2,617,000","1,279,000","1,338,000","-59,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
