"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","481,000","7,000","474,000","0","0","0","3,057,000","2,254,000","803,000","1,925,000",
="0056","元大高股息      ","26,000","2,000","24,000","0","0","0","1,144,000","1,144,000","0","1,168,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","3,071,000","1,823,000","1,248,000","575,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","277,000","216,000","61,000","155,000",
="006205","富邦上証        ","10,000","0","10,000","0","0","0","2,729,000","1,395,000","1,334,000","71,000",
="0053","元大電子        ","11,000","0","11,000","0","0","0","37,000","37,000","0","48,000",
="0051","元大中型100     ","22,000","0","22,000","0","0","0","22,000","22,000","0","44,000",
="0054","元大台商50      ","11,000","0","11,000","0","0","0","16,000","16,000","0","27,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","125,000","76,000","49,000","27,000",
="0058","富邦發達        ","23,000","0","23,000","0","0","0","44,000","21,000","23,000","21,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","18,000","18,000","0","18,000",
="0059","富邦金融        ","0","0","0","0","0","0","12,000","12,000","0","12,000",
="0052","富邦科技        ","2,000","0","2,000","0","0","0","0","0","0","2,000",
="006208","富邦台50        ","0","0","0","0","0","0","179,000","90,000","89,000","1,000",
="0060","新台灣          ","0","0","0","0","0","0","5,000","0","5,000","-5,000",
="0057","富邦摩台        ","0","0","0","0","0","0","8,000","0","8,000","-8,000",
="006207","FH滬深          ","0","0","0","0","0","0","661,000","211,000","450,000","-239,000",
="006206","元大上證50      ","0","0","0","0","0","0","767,000","110,000","657,000","-547,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
