"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","5,767,000","0","5,767,000","0","0","0","5,748,000","5,383,000","365,000","10,785,000",
="0061","元大寶滬深      ","1,543,000","271,000","1,272,000","250,000","0","250,000","8,426,000","5,693,000","2,733,000","4,482,000",
="0055","元大MSCI金融    ","117,000","0","117,000","0","0","0","2,302,000","2,162,000","140,000","2,139,000",
="0056","元大高股息      ","207,000","0","207,000","0","0","0","808,000","660,000","148,000","719,000",
="006205","富邦上証        ","0","0","0","0","0","0","8,091,000","4,242,000","3,849,000","393,000",
="006204","永豐臺灣加權    ","17,000","0","17,000","0","0","0","307,000","245,000","62,000","200,000",
="006207","FH滬深          ","0","0","0","0","0","0","773,000","422,000","351,000","71,000",
="0053","元大電子        ","3,000","0","3,000","0","0","0","63,000","63,000","0","66,000",
="0054","元大台商50      ","14,000","0","14,000","0","0","0","0","0","0","14,000",
="0059","富邦金融        ","2,000","0","2,000","0","0","0","10,000","10,000","0","12,000",
="006208","富邦台50        ","0","0","0","0","0","0","11,000","11,000","0","11,000",
="0060","新台灣          ","0","0","0","0","0","0","9,000","9,000","0","9,000",
="0052","富邦科技        ","0","0","0","0","0","0","11,000","10,000","1,000","9,000",
="0057","富邦摩台        ","0","0","0","0","0","0","7,000","6,000","1,000","5,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="0058","富邦發達        ","0","0","0","0","0","0","2,000","2,000","0","2,000",
="0051","元大中型100     ","11,000","0","11,000","0","0","0","96,000","21,000","75,000","-43,000",
="006206","元大上證50      ","89,000","0","89,000","0","0","0","5,650,000","2,587,000","3,063,000","-387,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
