"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00643","群益深証中小    ","1,936,000","7,000","1,929,000","0","0","0","0","0","0","1,237,000","0","0","0","1,243,000","6,000","1,237,000","3,166,000",
="0050","元大台灣50      ","2,109,000","68,000","2,041,000","0","0","0","0","0","0","187,000","90,000","110,000","-20,000","410,000","203,000","207,000","2,228,000",
="0061","元大寶滬深      ","616,000","0","616,000","0","0","0","0","0","0","939,000","20,000","0","20,000","1,229,000","310,000","919,000","1,555,000",
="0056","元大高股息      ","1,549,000","0","1,549,000","0","0","0","0","0","0","-65,000","0","0","0","20,000","85,000","-65,000","1,484,000",
="00673R","元大S&P原油反1  ","639,000","0","639,000","0","0","0","0","0","0","741,000","0","0","0","1,065,000","324,000","741,000","1,380,000",
="006207","FH滬深          ","396,000","6,000","390,000","0","0","0","0","0","0","361,000","0","0","0","397,000","36,000","361,000","751,000",
="006205","富邦上証        ","534,000","74,000","460,000","0","0","0","0","0","0","175,000","40,000","20,000","20,000","1,755,000","1,600,000","155,000","635,000",
="00631L","元大台灣50正2   ","761,000","44,000","717,000","0","0","0","0","0","0","-172,000","100,000","0","100,000","645,000","917,000","-272,000","545,000",
="006206","元大上證50      ","371,000","120,000","251,000","0","0","0","0","0","0","56,000","0","60,000","-60,000","172,000","56,000","116,000","307,000",
="00669R","國泰美國道瓊反1 ","0","9,000","-9,000","0","0","0","0","0","0","286,000","0","0","0","557,000","271,000","286,000","277,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","0","0","0","184,000","0","0","0","184,000","0","184,000","184,000",
="00683L","元大美元指數正2 ","31,000","0","31,000","0","0","0","0","0","0","131,000","0","0","0","133,000","2,000","131,000","162,000",
="00692","富邦公司治理    ","0","0","0","0","0","0","0","0","0","156,000","0","0","0","667,000","511,000","156,000","156,000",
="00665L","富邦H股正2      ","153,000","36,000","117,000","0","0","0","0","0","0","3,000","0","0","0","162,000","159,000","3,000","120,000",
="00640L","富邦日本正2     ","43,000","152,000","-109,000","0","0","0","0","0","0","222,000","0","0","0","834,000","612,000","222,000","113,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","0","0","0","95,000","0","0","0","177,000","82,000","95,000","95,000",
="00663L","國泰臺灣加權正2 ","0","0","0","0","0","0","0","0","0","86,000","0","0","0","280,000","194,000","86,000","86,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","0","0","0","67,000","0","0","0","77,000","10,000","67,000","67,000",
="00678","群益NBI生技     ","63,000","0","63,000","0","0","0","0","0","0","4,000","0","0","0","204,000","200,000","4,000","67,000",
="00634R","富邦上証反1     ","0","0","0","0","0","0","0","0","0","65,000","0","0","0","1,277,000","1,212,000","65,000","65,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","0","0","0","62,000","0","0","0","334,000","272,000","62,000","62,000",
