"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","5,620,000","204,000","5,416,000","0","478,000","-478,000","3,265,000","2,516,000","749,000","6,705,000",
="0056","元大高股息      ","137,000","0","137,000","0","0","0","214,000","192,000","22,000","307,000",
="006204","永豐臺灣加權    ","185,000","0","185,000","0","0","0","437,415","156,000","281,415","59,585",
="0054","元大台商50      ","36,000","0","36,000","0","0","0","13,000","13,000","0","49,000",
="0053","元大電子        ","40,000","0","40,000","0","0","0","0","0","0","40,000",
="0051","元大中型100     ","29,000","0","29,000","0","0","0","0","0","0","29,000",
="006203","元大MSCI台灣    ","47,000","0","47,000","0","0","0","49,000","7,000","42,000","12,000",
="006208","富邦台50        ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="0059","富邦金融        ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="0058","富邦發達        ","0","0","0","0","0","0","3,000","0","3,000","-3,000",
="0052","富邦科技        ","0","4,000","-4,000","0","0","0","0","0","0","-4,000",
="0057","富邦摩台        ","0","188,000","-188,000","0","0","0","196,000","188,000","8,000","-8,000",
="0055","元大MSCI金融    ","0","10,000","-10,000","0","0","0","525,000","243,000","282,000","-49,000",
="006205","富邦上証        ","0","1,318,000","-1,318,000","0","0","0","5,350,000","2,891,000","2,459,000","-886,000",
="006207","FH滬深          ","0","0","0","0","0","0","1,653,000","0","1,653,000","-1,653,000",
="006206","元大上證50      ","20,000","579,000","-559,000","0","0","0","9,619,000","3,559,000","6,060,000","-3,060,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","8,090,000","992,000","7,098,000","-6,106,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
