"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0050","元大台灣50      ","3,420,000","2,000","3,418,000","0","0","0","1,886,000","1,654,000","232,000","4,840,000",
="0055","元大MSCI金融    ","61,000","0","61,000","0","0","0","2,789,000","2,789,000","0","2,850,000",
="0056","元大高股息      ","0","2,000","-2,000","0","0","0","1,990,000","1,990,000","0","1,988,000",
="0058","富邦發達        ","0","0","0","0","0","0","68,000","68,000","0","68,000",
="0051","元大中型100     ","0","0","0","0","0","0","65,000","65,000","0","65,000",
="0053","元大電子        ","0","0","0","0","0","0","50,000","50,000","0","50,000",
="0059","富邦金融        ","0","0","0","0","0","0","19,000","19,000","0","19,000",
="0054","元大台商50      ","0","0","0","0","0","0","12,000","12,000","0","12,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","12,000","12,000","0","12,000",
="0052","富邦科技        ","0","0","0","0","0","0","5,000","5,000","0","5,000",
="0057","富邦摩台        ","0","0","0","0","0","0","221,000","113,000","108,000","5,000",
="006208","富邦台50        ","0","0","0","0","0","0","4,000","4,000","0","4,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","285,000","78,000","207,000","-129,000",
="006207","FH滬深          ","0","0","0","0","0","0","1,172,000","0","1,172,000","-1,172,000",
="0061","元大寶滬深      ","0","2,011,000","-2,011,000","0","0","0","3,738,000","1,781,000","1,957,000","-2,187,000",
="006205","富邦上証        ","0","647,000","-647,000","0","1,000,000","-1,000,000","6,092,000","2,377,000","3,715,000","-2,985,000",
="006206","元大上證50      ","0","0","0","0","0","0","8,320,000","1,120,000","7,200,000","-6,080,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
