"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","450,000","300,000","150,000","0","0","0","41,327,000","600,000","458,000","142,000","53,036,000","11,851,000","41,185,000","41,477,000",
="00633L","富邦上証正2     ","558,000","308,000","250,000","0","0","0","15,031,000","245,000","220,000","25,000","34,330,000","19,324,000","15,006,000","15,281,000",
="00632R","元大台灣50反1   ","219,000","403,000","-184,000","0","0","0","5,345,000","1,609,000","166,000","1,443,000","7,918,000","4,016,000","3,902,000","5,161,000",
="0061","元大寶滬深      ","0","19,000","-19,000","0","0","0","1,357,000","0","90,000","-90,000","2,592,000","1,145,000","1,447,000","1,338,000",
="00641R","富邦日本反1     ","0","0","0","0","0","0","1,019,000","0","0","0","2,824,000","1,805,000","1,019,000","1,019,000",
="00636","國泰中國A50     ","0","0","0","0","0","0","914,000","0","0","0","1,852,000","938,000","914,000","914,000",
="00643","群益深証中小    ","21,000","36,000","-15,000","0","0","0","483,000","207,000","100,000","107,000","2,612,000","2,236,000","376,000","468,000",
="00646","元大S&P500      ","0","0","0","0","0","0","386,000","0","0","0","1,141,000","755,000","386,000","386,000",
="006206","元大上證50      ","0","0","0","0","0","0","359,000","0","0","0","1,449,000","1,090,000","359,000","359,000",
="00642U","元大S&P石油     ","2,000","0","2,000","0","0","0","171,000","0","0","0","355,000","184,000","171,000","173,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","153,000","0","1,100,000","-1,100,000","2,351,000","1,098,000","1,253,000","153,000",
="0060","新台灣          ","0","0","0","0","0","0","106,000","0","0","0","165,000","59,000","106,000","106,000",
="00639","富邦深100       ","0","0","0","0","0","0","93,000","730,000","640,000","90,000","1,228,000","1,225,000","3,000","93,000",
="0056","元大高股息      ","2,000","0","2,000","0","0","0","76,000","0","0","0","114,000","38,000","76,000","78,000",
="0057","富邦摩台        ","0","0","0","0","0","0","13,000","0","0","0","14,000","1,000","13,000","13,000",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","11,000","0","550,000","-550,000","632,000","71,000","561,000","11,000",
="0059","富邦金融        ","0","0","0","0","0","0","5,000","0","0","0","5,000","0","5,000","5,000",
="0058","富邦發達        ","0","0","0","0","0","0","4,000","0","0","0","7,000","3,000","4,000","4,000",
="0053","元大電子        ","0","0","0","0","0","0","2,000","0","0","0","5,000","3,000","2,000","2,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","1,000","0","0","0","2,000","1,000","1,000","1,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","0",
="006208","富邦台50        ","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0052","富邦科技        ","0","0","0","0","0","0","-2,000","0","0","0","41,000","43,000","-2,000","-2,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","-2,000","5,000","0","5,000","23,000","30,000","-7,000","-2,000",
="0054","元大台商50      ","0","0","0","0","0","0","-4,000","0","0","0","0","4,000","-4,000","-4,000",
="008201","BP上證50        ","0","0","0","0","0","0","-15,500","0","0","0","12,000","27,500","-15,500","-15,500",
="00645","富邦日本        ","1,000","0","1,000","0","0","0","-62,000","0","0","0","4,002,000","4,064,000","-62,000","-61,000",
="0051","元大中型100     ","0","1,000","-1,000","0","0","0","-109,000","0","0","0","117,000","226,000","-109,000","-110,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","-175,000","0","0","0","0","175,000","-175,000","-175,000",
="006207","FH滬深          ","40,000","0","40,000","0","0","0","-241,000","10,000","0","10,000","430,000","681,000","-251,000","-201,000",
="00638R","元大滬深300反1  ","0","0","0","0","0","0","-859,000","0","0","0","492,000","1,351,000","-859,000","-859,000",
="006205","富邦上証        ","10,000","10,000","0","0","0","0","-1,107,000","10,000","242,000","-232,000","1,280,000","2,155,000","-875,000","-1,107,000",
="00640L","富邦日本正2     ","0","0","0","0","0","0","-2,728,000","0","0","0","657,000","3,385,000","-2,728,000","-2,728,000",
="00631L","元大台灣50正2   ","50,000","50,000","0","0","0","0","-2,830,000","163,000","73,000","90,000","1,471,000","4,391,000","-2,920,000","-2,830,000",
="0050","元大台灣50      ","234,000","1,738,000","-1,504,000","50,000","0","50,000","-2,379,000","140,000","765,000","-625,000","901,000","2,655,000","-1,754,000","-3,833,000",
="00634R","富邦上証反1     ","0","0","0","0","0","0","-4,989,000","130,000","680,000","-550,000","1,472,000","5,911,000","-4,439,000","-4,989,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
