"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00636","國泰中國A50     ","2,354,000","7,000","2,347,000","0","0","0","0","0","0","-254,000","191,000","85,000","106,000","2,297,000","2,657,000","-360,000","2,093,000",
="00672L","元大S&P原油正2  ","1,433,000","5,000","1,428,000","0","0","0","0","0","0","478,000","35,000","0","35,000","1,844,000","1,401,000","443,000","1,906,000",
="006206","元大上證50      ","1,014,000","7,000","1,007,000","0","0","0","0","0","0","458,000","95,000","0","95,000","937,000","574,000","363,000","1,465,000",
="0061","元大寶滬深      ","549,000","0","549,000","0","0","0","0","100,000","-100,000","998,000","0","10,000","-10,000","3,093,000","2,085,000","1,008,000","1,447,000",
="006205","富邦上証        ","278,000","2,000","276,000","0","0","0","0","50,000","-50,000","1,201,000","10,000","0","10,000","1,505,000","314,000","1,191,000","1,427,000",
="00642U","元大S&P石油     ","2,000","0","2,000","0","0","0","0","0","0","800,000","0","0","0","829,000","29,000","800,000","802,000",
="006207","FH滬深          ","317,000","173,000","144,000","0","0","0","0","0","0","569,000","51,000","51,000","0","637,000","68,000","569,000","713,000",
="0050","元大台灣50      ","437,000","50,000","387,000","0","0","0","0","0","0","109,000","2,000","386,000","-384,000","1,066,000","573,000","493,000","496,000",
="0056","元大高股息      ","233,000","0","233,000","0","0","0","0","0","0","56,000","6,000","90,000","-84,000","142,000","2,000","140,000","289,000",
="00631L","元大台灣50正2   ","0","3,000","-3,000","0","0","0","0","0","0","232,000","50,000","0","50,000","1,090,000","908,000","182,000","229,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","0","0","0","215,000","0","0","0","359,000","144,000","215,000","215,000",
="00677U","富邦VIX         ","420,000","250,000","170,000","0","0","0","0","0","0","-7,000","0","0","0","1,458,000","1,465,000","-7,000","163,000",
="00653L","富邦印度正2     ","9,000","0","9,000","0","0","0","0","0","0","106,000","0","0","0","169,000","63,000","106,000","115,000",
="00701","國泰臺灣低波動30","2,000","103,000","-101,000","0","0","0","0","0","0","214,000","0","0","0","217,000","3,000","214,000","113,000",
="00700","富邦H股         ","17,000","0","17,000","0","0","0","0","0","0","83,000","0","0","0","120,000","37,000","83,000","100,000",
="00678","群益NBI生技     ","147,000","4,000","143,000","0","0","0","0","0","0","-48,000","0","0","0","328,000","376,000","-48,000","95,000",
="00717","富邦美國特別股  ","0","0","0","0","0","0","0","0","0","84,000","0","40,000","-40,000","222,000","98,000","124,000","84,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","0","0","0","80,000","0","0","0","611,000","531,000","80,000","80,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","0","0","0","74,000","0","0","0","140,000","66,000","74,000","74,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","0","0","0","59,000","0","0","0","59,000","0","59,000","59,000",
="00647L","元大S&P500正2   ","2,000","0","2,000","0","0","0","0","0","0","52,000","0","0","0","52,000","0","52,000","54,000",
="00703","台新MSCI中國    ","0","0","0","0","0","0","0","0","0","44,000","0","0","0","110,000","66,000","44,000","44,000",
="00663L","國泰臺灣加權正2 ","10,000","0","10,000","0","0","0","0","0","0","32,000","0","0","0","196,000","164,000","32,000","42,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","0","0","0","33,000","0","0","0","50,000","17,000","33,000","33,000",
