"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00632R","元大台灣50反1   ","53,000","1,250,000","-1,197,000","0","2,103,000","-2,103,000","36,678,000","2,578,000","1,648,000","930,000","38,799,000","3,051,000","35,748,000","33,378,000",
="00642U","元大S&P石油     ","2,097,000","14,000","2,083,000","0","0","0","8,053,000","0","725,000","-725,000","9,301,000","523,000","8,778,000","10,136,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","4,203,000","0","0","0","7,420,000","3,217,000","4,203,000","4,203,000",
="00657","國泰日經225     ","0","0","0","0","0","0","4,189,000","0","0","0","5,243,000","1,054,000","4,189,000","4,189,000",
="00659R","國泰日本反1     ","0","0","0","0","0","0","2,009,000","0","0","0","4,348,000","2,339,000","2,009,000","2,009,000",
="00640L","富邦日本正2     ","1,585,000","0","1,585,000","0","0","0","26,000","20,000","227,000","-207,000","5,023,000","4,790,000","233,000","1,611,000",
="00653L","富邦印度正2     ","200,000","1,000","199,000","0","0","0","1,330,000","0","0","0","3,077,000","1,747,000","1,330,000","1,529,000",
="00634R","富邦上証反1     ","276,000","198,000","78,000","0","0","0","1,170,000","470,000","370,000","100,000","4,999,000","3,929,000","1,070,000","1,248,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","378,000","0","0","0","862,000","484,000","378,000","378,000",
="00641R","富邦日本反1     ","0","368,000","-368,000","0","0","0","732,000","90,000","62,000","28,000","2,214,000","1,510,000","704,000","364,000",
="00643","群益深証中小    ","0","0","0","0","0","0","202,000","0","0","0","574,000","372,000","202,000","202,000",
="00638R","元大滬深300反1  ","570,000","0","570,000","0","0","0","-433,000","0","0","0","640,000","1,073,000","-433,000","137,000",
="00652","富邦印度        ","0","0","0","0","0","0","120,000","0","200,000","-200,000","1,568,000","1,248,000","320,000","120,000",
="00646","元大S&P500      ","0","0","0","0","0","0","65,000","0","0","0","65,000","0","65,000","65,000",
="00650L","FH香港正2       ","2,000","33,000","-31,000","0","0","0","88,000","0","0","0","422,000","334,000","88,000","57,000",
="0053","元大電子        ","0","0","0","0","0","0","27,000","0","0","0","30,000","3,000","27,000","27,000",
="006208","富邦台50        ","0","0","0","0","0","0","8,000","0","0","0","8,000","0","8,000","8,000",
="00647L","元大S&P500正2   ","209,000","0","209,000","0","0","0","-202,000","0","0","0","4,000","206,000","-202,000","7,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","0",
="0057","富邦摩台        ","0","0","0","0","0","0","-2,000","0","0","0","3,000","5,000","-2,000","-2,000",
="008201","BP上證50        ","0","0","0","0","0","0","-2,100","0","0","0","0","2,100","-2,100","-2,100",
="0058","富邦發達        ","0","0","0","0","0","0","-4,000","0","0","0","0","4,000","-4,000","-4,000",
="0059","富邦金融        ","0","0","0","0","0","0","-4,000","0","0","0","0","4,000","-4,000","-4,000",
="0051","元大中型100     ","0","0","0","0","0","0","-4,000","0","0","0","0","4,000","-4,000","-4,000",
="0054","元大台商50      ","0","0","0","0","0","0","-6,000","0","0","0","0","6,000","-6,000","-6,000",
="0052","富邦科技        ","0","0","0","0","0","0","-7,000","0","0","0","0","7,000","-7,000","-7,000",
="00649","FH香港          ","0","161,000","-161,000","0","0","0","147,000","0","0","0","262,000","115,000","147,000","-14,000",
="0055","元大MSCI金融    ","2,000","0","2,000","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-28,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","-62,000","0","181,000","-181,000","824,000","705,000","119,000","-62,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","-64,000","0","0","0","159,000","223,000","-64,000","-64,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","-77,000","0","0","0","227,000","304,000","-77,000","-77,000",
="00645","富邦日本        ","1,000","0","1,000","0","0","0","-166,000","0","0","0","914,000","1,080,000","-166,000","-165,000",
="00636","國泰中國A50     ","594,000","0","594,000","0","0","0","-1,343,000","10,000","0","10,000","2,548,000","3,901,000","-1,353,000","-749,000",
="00639","富邦深100       ","38,000","240,000","-202,000","0","0","0","-575,000","70,000","185,000","-115,000","101,000","561,000","-460,000","-777,000",
