"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00677U","富邦VIX         ","20,212,000","1,000","20,211,000","0","0","0","0","0","0","14,739,000","30,000","899,000","-869,000","15,739,000","131,000","15,608,000","34,950,000",
="00632R","元大台灣50反1   ","14,543,000","0","14,543,000","0","0","0","0","0","0","14,453,000","5,688,000","3,571,000","2,117,000","20,349,000","8,013,000","12,336,000","28,996,000",
="00673R","元大S&P原油反1  ","4,180,000","0","4,180,000","0","0","0","0","0","0","3,488,000","0","0","0","3,842,000","354,000","3,488,000","7,668,000",
="00669R","國泰美國道瓊反1 ","0","0","0","0","0","0","0","0","0","1,514,000","0","0","0","1,614,000","100,000","1,514,000","1,514,000",
="00648R","元大S&P500反1   ","510,000","0","510,000","0","0","0","0","0","0","903,000","0","0","0","975,000","72,000","903,000","1,413,000",
="00683L","元大美元指數正2 ","0","0","0","0","0","0","0","0","0","675,000","0","0","0","695,000","20,000","675,000","675,000",
="00634R","富邦上証反1     ","75,000","25,000","50,000","0","0","0","0","0","0","573,000","0","0","0","1,414,000","841,000","573,000","623,000",
="006206","元大上證50      ","552,000","0","552,000","0","0","0","0","0","0","-29,000","0","20,000","-20,000","646,000","655,000","-9,000","523,000",
="00664R","國泰臺灣加權反1 ","10,000","1,000","9,000","0","0","0","0","0","0","509,000","0","0","0","1,515,000","1,006,000","509,000","518,000",
="00671R","富邦NASDAQ反1   ","118,000","0","118,000","0","0","0","0","0","0","297,000","0","0","0","544,000","247,000","297,000","415,000",
="00676R","富邦臺灣加權反1 ","266,000","0","266,000","0","0","0","0","0","0","96,000","0","0","0","821,000","725,000","96,000","362,000",
="00708L","元大S&P黃金正2  ","0","0","0","0","0","0","0","0","0","297,000","0","0","0","392,000","95,000","297,000","297,000",
="00653L","富邦印度正2     ","0","0","0","0","0","0","0","0","0","247,000","0","0","0","303,000","56,000","247,000","247,000",
="006207","FH滬深          ","75,000","55,000","20,000","0","0","0","0","0","0","218,000","10,000","10,000","0","218,000","0","218,000","238,000",
="00665L","富邦恒生國企正2 ","0","173,000","-173,000","0","0","0","0","0","0","387,000","0","0","0","616,000","229,000","387,000","214,000",
="00686R","群益臺灣加權反1 ","20,000","0","20,000","0","0","0","0","0","0","157,000","0","0","0","218,000","61,000","157,000","177,000",
="00641R","富邦日本反1     ","0","0","0","0","0","0","0","0","0","153,000","0","0","0","350,000","197,000","153,000","153,000",
="00659R","國泰日本反1     ","0","0","0","0","0","0","0","0","0","104,000","0","0","0","128,000","24,000","104,000","104,000",
="00703","台新MSCI中國    ","0","0","0","0","0","0","0","0","0","83,000","0","0","0","171,000","88,000","83,000","83,000",
="00706L","元大S&P日圓正2  ","0","0","0","0","0","0","0","0","0","69,000","0","0","0","71,000","2,000","69,000","69,000",
="00658L","國泰日本正2     ","10,000","0","10,000","0","0","0","0","0","0","54,000","0","0","0","115,000","61,000","54,000","64,000",
="00639","富邦深100       ","134,000","51,000","83,000","0","0","0","0","0","0","-36,000","656,000","351,000","305,000","1,248,000","1,589,000","-341,000","47,000",
="00693U","華頓S&P黃豆     ","0","0","0","0","0","0","0","0","0","44,000","0","0","0","247,000","203,000","44,000","44,000",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","0","0","0","35,000","0","0","0","107,000","72,000","35,000","35,000",
="00716R","華頓S&P布蘭特反1","0","0","0","0","0","0","0","0","0","31,000","0","0","0","231,000","200,000","31,000","31,000",
="00701","國泰臺灣低波動30","0","0","0","0","0","0","0","0","0","18,000","0","0","0","24,000","6,000","18,000","18,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","0","0","0","15,000","0","0","0","26,000","11,000","15,000","15,000",
="00705R","台新MSCI台灣反1 ","0","0","0","0","0","0","0","0","0","11,000","0","0","0","15,000","4,000","11,000","11,000",
="00674R","元大S&P黃金反1  ","0","2,000","-2,000","0","0","0","0","0","0","12,000","0","0","0","23,000","11,000","12,000","10,000",
="00682U","元大美元指數    ","0","0","0","0","0","0","0","0","0","9,000","0","0","0","9,000","0","9,000","9,000",
="00700","富邦恒生國企    ","0","5,000","-5,000","0","0","0","0","0","0","14,000","0","0","0","14,000","0","14,000","9,000",
="00691R","兆豐藍籌30反1   ","0","0","0","0","0","0","0","0","0","5,000","0","0","0","8,000","3,000","5,000","5,000",
="00680L","元大美債20正2   ","4,000","0","4,000","0","0","0","0","0","0","0","0","0","0","0","0","0","4,000",
="00652","富邦印度        ","0","0","0","0","0","0","0","0","0","2,000","0","0","0","4,000","2,000","2,000","2,000",
="00707R","元大S&P日圓反1  ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="00710B","FH彭博高收益債  ","0","190,000","-190,000","0","0","0","6,900,000","0","6,900,000","-6,710,000","0","0","0","0","6,710,000","-6,710,000","0",
="00712","FH富時不動產    ","0","1,000","-1,000","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","0",
="00657","國泰日經225     ","1,000","0","1,000","0","0","0","0","0","0","-1,000","0","0","0","2,000","3,000","-1,000","0",
="00657K","國泰日經225+U   ","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0",
="00688L","國泰20年美債正2 ","0","0","0","0","0","0","0","0","0","0","0","0","0","201,000","201,000","0","0",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
="00636K","國泰中國A50+U   ","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0",
="00649","FH香港          ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","1,000","2,000","-1,000","-1,000",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="00711B","FH彭博新興債    ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0051","元大中型100     ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0054","元大台商50      ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0057","富邦摩台        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="0058","富邦發達        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-2,000",
="008201","BP上證50        ","0","0","0","0","0","0","0","0","0","-2,900","0","0","0","0","2,900","-2,900","-2,900",
="0059","富邦金融        ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","1,000","4,000","-3,000","-3,000",
="0053","元大電子        ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="00713","元大台灣高息低波","0","0","0","0","0","0","0","0","0","-4,000","0","0","0","4,000","8,000","-4,000","-4,000",
="00704L","台新MSCI台灣正2 ","0","0","0","0","0","0","0","0","0","-4,000","0","0","0","6,000","10,000","-4,000","-4,000",
="00645","富邦日本        ","0","0","0","0","0","0","0","0","0","-5,000","0","0","0","61,000","66,000","-5,000","-5,000",
="00660","元大歐洲50      ","0","122,000","-122,000","0","0","0","0","0","0","117,000","0","0","0","120,000","3,000","117,000","-5,000",
="00650L","FH香港正2       ","14,000","14,000","0","0","0","0","0","0","0","-7,000","0","0","0","24,000","31,000","-7,000","-7,000",
="00689R","國泰20年美債反1 ","0","0","0","0","0","0","0","0","0","-9,000","0","0","0","200,000","209,000","-9,000","-9,000",
="00681R","元大美債20反1   ","0","0","0","0","0","0","0","0","0","-11,000","0","0","0","2,000","13,000","-11,000","-11,000",
="00714","群益道瓊美國地產","0","8,000","-8,000","0","0","0","0","0","0","-4,000","0","0","0","100,000","104,000","-4,000","-12,000",
="00702","國泰標普低波高息","0","0","0","0","0","0","0","0","0","-13,000","0","0","0","9,000","22,000","-13,000","-13,000",
="00709","富邦歐洲        ","0","0","0","0","0","0","0","0","0","-17,000","0","0","0","150,000","167,000","-17,000","-17,000",
="00633L","富邦上証正2     ","1,268,000","743,000","525,000","0","0","0","0","0","0","-546,000","215,000","410,000","-195,000","8,575,000","8,926,000","-351,000","-21,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","0","0","0","-26,000","0","0","0","503,000","529,000","-26,000","-26,000",
="00715L","華頓S&P布蘭特正2","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","284,000","318,000","-34,000","-34,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","0","0","0","-41,000","0","0","0","120,000","161,000","-41,000","-41,000",
="00666R","富邦恒生國企反1 ","0","0","0","0","0","0","0","0","0","-44,000","0","0","0","276,000","320,000","-44,000","-44,000",
="00651R","FH香港反1       ","0","40,000","-40,000","0","0","0","0","0","0","-25,000","0","0","0","42,000","67,000","-25,000","-65,000",
="00730","富邦臺灣優質高息","0","0","0","0","0","0","0","0","0","-71,000","0","0","0","138,000","209,000","-71,000","-71,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","0","0","0","-77,000","0","0","0","2,000","79,000","-77,000","-77,000",
="00635U","元大S&P黃金     ","49,000","0","49,000","0","0","0","0","0","0","-143,000","0","0","0","17,000","160,000","-143,000","-94,000",
="00647L","元大S&P500正2   ","100,000","2,000","98,000","0","0","0","0","0","0","-225,000","0","0","0","30,000","255,000","-225,000","-127,000",
="00640L","富邦日本正2     ","0","0","0","0","0","0","0","0","0","-131,000","0","0","0","337,000","468,000","-131,000","-131,000",
="00663L","國泰臺灣加權正2 ","0","0","0","0","0","0","0","0","0","-132,000","0","0","0","19,000","151,000","-132,000","-132,000",
="00638R","元大滬深300反1  ","0","10,000","-10,000","0","0","0","0","0","0","-130,000","0","0","0","80,000","210,000","-130,000","-140,000",
="00668","國泰美國道瓊    ","0","0","0","0","0","0","0","0","0","-157,000","0","0","0","0","157,000","-157,000","-157,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","0","0","0","-163,000","0","0","0","0","163,000","-163,000","-163,000",
="00692","富邦公司治理    ","0","0","0","0","0","0","0","0","0","-190,000","0","0","0","427,000","617,000","-190,000","-190,000",
="00675L","富邦臺灣加權正2 ","5,000","0","5,000","0","0","0","0","0","0","-248,000","0","0","0","131,000","379,000","-248,000","-243,000",
="00678","群益NBI生技     ","0","241,000","-241,000","0","0","0","0","0","0","-2,000","0","0","0","0","2,000","-2,000","-243,000",
="00717","富邦美國特別股  ","0","250,000","-250,000","0","0","0","0","0","0","-19,000","0","0","0","182,000","201,000","-19,000","-269,000",
="00646","元大S&P500      ","0","459,000","-459,000","0","0","0","0","0","0","134,000","0","0","0","330,000","196,000","134,000","-325,000",
="0056","元大高股息      ","0","368,000","-368,000","0","0","0","0","0","0","-15,000","0","0","0","0","15,000","-15,000","-383,000",
="0061","元大寶滬深      ","0","873,000","-873,000","0","0","0","0","0","0","239,000","30,000","0","30,000","777,000","568,000","209,000","-634,000",
="006205","富邦上証        ","14,000","71,000","-57,000","0","0","0","0","0","0","-593,000","9,000","9,000","0","2,707,000","3,300,000","-593,000","-650,000",
="00631L","元大台灣50正2   ","0","0","0","0","0","0","0","0","0","-697,000","550,000","0","550,000","622,000","1,869,000","-1,247,000","-697,000",
="00642U","元大S&P石油     ","2,000","108,000","-106,000","0","0","0","0","0","0","-695,000","0","0","0","1,294,000","1,989,000","-695,000","-801,000",
="00655L","國泰中國A50正2  ","1,013,000","0","1,013,000","0","0","0","0","0","0","-1,908,000","0","0","0","5,855,000","7,763,000","-1,908,000","-895,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","0","0","0","-1,722,000","0","0","0","55,000","1,777,000","-1,722,000","-1,722,000",
="00643","群益深証中小    ","0","1,122,000","-1,122,000","0","0","0","0","0","0","-1,221,000","0","0","0","297,000","1,518,000","-1,221,000","-2,343,000",
="00636","國泰中國A50     ","11,000","1,516,000","-1,505,000","0","0","0","0","0","0","-2,731,000","100,000","436,000","-336,000","1,016,000","3,411,000","-2,395,000","-4,236,000",
="0050","元大台灣50      ","9,000","3,775,000","-3,766,000","0","0","0","0","0","0","-1,273,000","461,000","0","461,000","253,000","1,987,000","-1,734,000","-5,039,000",
="00672L","元大S&P原油正2  ","156,000","1,346,000","-1,190,000","0","0","0","0","0","0","-3,865,000","0","300,000","-300,000","1,282,000","4,847,000","-3,565,000","-5,055,000",
="00637L","元大滬深300正2  ","5,034,000","2,292,000","2,742,000","0","0","0","0","0","0","-12,199,000","0","200,000","-200,000","29,364,000","41,363,000","-11,999,000","-9,457,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
