"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="0056","元大高股息      ","181,000","0","181,000","0","0","0","10,836,000","9,232,000","1,604,000","7,809,000",
="0050","元大台灣50      ","6,368,000","669,000","5,699,000","0","0","0","7,082,000","2,339,000","4,743,000","3,295,000",
="0055","元大MSCI金融    ","535,000","0","535,000","0","0","0","669,000","320,000","349,000","506,000",
="0054","元大台商50      ","74,000","0","74,000","0","0","0","27,000","27,000","0","101,000",
="0053","元大電子        ","50,000","0","50,000","0","0","0","20,000","20,000","0","70,000",
="006203","元大MSCI台灣    ","49,000","0","49,000","0","0","0","1,000","0","1,000","48,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","22,100","20,000","2,100","17,900",
="0051","元大中型100     ","9,000","0","9,000","0","0","0","8,000","8,000","0","17,000",
="0052","富邦科技        ","6,000","1,000","5,000","0","0","0","10,000","10,000","0","15,000",
="0059","富邦金融        ","25,000","0","25,000","0","0","0","39,000","14,000","25,000","14,000",
="0057","富邦摩台        ","0","0","0","0","0","0","203,000","103,000","100,000","3,000",
="006208","富邦台50        ","0","0","0","0","0","0","3,000","3,000","0","3,000",
="0058","富邦發達        ","0","0","0","0","0","0","3,000","2,000","1,000","1,000",
="0060","新台灣          ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="006206","元大上證50      ","0","0","0","0","0","0","1,202,000","334,000","868,000","-534,000",
="006207","FH滬深          ","0","350,000","-350,000","0","0","0","3,341,000","1,050,000","2,291,000","-1,591,000",
="0061","元大寶滬深      ","0","1,430,000","-1,430,000","0","0","0","3,141,000","1,276,000","1,865,000","-2,019,000",
="006205","富邦上証        ","5,000","0","5,000","700,000","0","700,000","11,533,000","2,089,000","9,444,000","-6,650,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
