"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006205","富邦上証        ","0","40,000","-40,000","2,783,000","22,000","2,761,000","4,533,000","2,005,000","2,528,000","2,198,000",
="0056","元大高股息      ","0","2,000","-2,000","0","0","0","1,122,000","1,027,000","95,000","930,000",
="0055","元大MSCI金融    ","13,000","0","13,000","0","0","0","1,850,000","1,062,000","788,000","287,000",
="006207","FH滬深          ","100,000","0","100,000","0","0","0","606,000","273,000","333,000","40,000",
="006203","元大MSCI台灣    ","5,000","0","5,000","0","0","0","0","0","0","5,000",
="0081","恒香港          ","2,700","0","2,700","0","0","0","0","0","0","2,700",
="0080","恒中國          ","2,600","0","2,600","0","0","0","0","0","0","2,600",
="0053","元大電子        ","1,000","0","1,000","0","0","0","0","0","0","1,000",
="0057","富邦摩台        ","0","1,000","-1,000","0","0","0","0","0","0","-1,000",
="0052","富邦科技        ","0","0","0","0","0","0","2,000","0","2,000","-2,000",
="006208","富邦台50        ","0","0","0","0","0","0","6,000","1,000","5,000","-4,000",
="006206","元大上證50      ","314,000","120,000","194,000","0","0","0","744,000","220,000","524,000","-110,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","352,000","83,000","269,000","-186,000",
="0061","元大寶滬深      ","0","244,000","-244,000","0","0","0","7,197,000","3,209,000","3,988,000","-1,023,000",
="0050","元大台灣50      ","1,200,200","1,829,000","-628,800","0","0","0","5,694,000","719,000","4,975,000","-4,884,800",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
