"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","13,074,000","229,000","12,845,000","0","0","0","0","0","0","10,114,000","631,000","0","631,000","33,313,000","23,830,000","9,483,000","22,959,000",
="00672L","元大S&P原油正2  ","4,175,000","0","4,175,000","0","0","0","0","0","0","2,810,000","42,000","0","42,000","3,468,000","700,000","2,768,000","6,985,000",
="00633L","富邦上証正2     ","3,532,000","120,000","3,412,000","0","0","0","0","0","0","2,584,046","254,000","10,000","244,000","6,478,000","4,137,954","2,340,046","5,996,046",
="00655L","國泰中國A50正2  ","1,602,000","131,000","1,471,000","0","0","0","0","0","0","2,308,000","198,000","0","198,000","3,924,000","1,814,000","2,110,000","3,779,000",
="00713","元大台灣高息低波","0","0","0","0","0","0","0","0","0","3,333,000","0","0","0","3,333,000","0","3,333,000","3,333,000",
="00642U","元大S&P石油     ","1,089,000","1,000","1,088,000","0","0","0","0","0","0","1,075,000","0","0","0","1,081,000","6,000","1,075,000","2,163,000",
="0050","元大台灣50      ","3,069,716","0","3,069,716","0","0","0","0","1,100,000","-1,100,000","-1,104,000","99,000","306,000","-207,000","1,197,000","2,094,000","-897,000","865,716",
="00683L","元大美元指數正2 ","0","8,000","-8,000","0","0","0","0","0","0","774,000","0","0","0","781,000","7,000","774,000","766,000",
="00675L","富邦臺灣加權正2 ","0","0","0","0","0","0","0","0","0","580,000","69,000","0","69,000","705,000","194,000","511,000","580,000",
="00665L","富邦H股正2      ","254,000","1,000","253,000","0","0","0","0","0","0","268,000","19,000","0","19,000","684,000","435,000","249,000","521,000",
="0056","元大高股息      ","0","0","0","0","0","0","0","0","0","445,000","0","0","0","445,000","0","445,000","445,000",
="00634R","富邦上証反1     ","0","0","0","0","0","0","0","0","0","332,000","0","0","0","918,000","586,000","332,000","332,000",
="0061","元大寶滬深      ","5,000","0","5,000","0","0","0","0","0","0","299,000","0","0","0","965,000","666,000","299,000","304,000",
="006207","FH滬深          ","12,000","0","12,000","0","0","0","0","0","0","289,000","60,000","10,000","50,000","590,000","351,000","239,000","301,000",
="00650L","FH香港正2       ","101,000","0","101,000","0","0","0","0","0","0","132,000","0","0","0","285,000","153,000","132,000","233,000",
="00643","群益深証中小    ","0","0","0","0","0","0","0","0","0","213,878","60,000","0","60,000","1,105,000","951,122","153,878","213,878",
="00656R","國泰中國A50反1  ","0","0","0","0","0","0","0","0","0","149,000","0","0","0","194,000","45,000","149,000","149,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","0","0","0","147,000","0","0","0","147,000","0","147,000","147,000",
