"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","3,676,000","3,420,000","256,000","0","0","0","0","3,200,000","-3,200,000","13,455,000","302,000","200,000","102,000","27,578,000","14,225,000","13,353,000","10,511,000",
="0050","元大台灣50      ","5,761,000","12,000","5,749,000","0","0","0","0","0","0","548,000","94,000","0","94,000","1,141,000","687,000","454,000","6,297,000",
="00633L","富邦上証正2     ","1,279,000","1,020,000","259,000","0","0","0","0","0","0","3,658,000","120,000","10,000","110,000","6,420,000","2,872,000","3,548,000","3,917,000",
="0056","元大高股息      ","0","0","0","0","0","0","0","0","0","1,403,000","0","0","0","1,403,000","0","1,403,000","1,403,000",
="00631L","元大台灣50正2   ","288,000","0","288,000","0","0","0","0","0","0","1,048,000","84,000","0","84,000","1,152,000","188,000","964,000","1,336,000",
="00655L","國泰中國A50正2  ","384,000","413,000","-29,000","0","0","0","0","0","0","1,193,000","350,000","0","350,000","2,492,000","1,649,000","843,000","1,164,000",
="00708L","元大S&P黃金正2  ","0","246,000","-246,000","0","0","0","0","0","0","1,356,000","250,000","0","250,000","1,137,000","31,000","1,106,000","1,110,000",
="00635U","元大S&P黃金     ","0","100,000","-100,000","0","0","0","0","0","0","780,000","0","0","0","853,000","73,000","780,000","680,000",
="006206","元大上證50      ","187,000","1,000","186,000","0","0","0","0","0","0","416,000","0","0","0","933,000","517,000","416,000","602,000",
="00669R","國泰美國道瓊反1 ","0","0","0","0","0","0","0","0","0","544,000","0","0","0","610,000","66,000","544,000","544,000",
="00648R","元大S&P500反1   ","89,000","0","89,000","0","0","0","0","0","0","418,000","0","0","0","547,000","129,000","418,000","507,000",
="00642U","元大S&P石油     ","0","0","0","0","0","0","0","0","0","478,000","0","0","0","522,000","44,000","478,000","478,000",
="00672L","元大S&P原油正2  ","29,000","15,000","14,000","0","0","0","0","0","0","462,000","0","0","0","998,000","536,000","462,000","476,000",
="00701","國泰臺灣低波動30","114,000","0","114,000","0","0","0","0","0","0","316,000","0","0","0","344,000","28,000","316,000","430,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","0","0","0","362,000","50,000","0","50,000","686,000","374,000","312,000","362,000",
="00717","富邦美國特別股  ","0","0","0","0","0","0","0","0","0","291,000","0","0","0","344,000","53,000","291,000","291,000",
="00663L","國泰臺灣加權正2 ","71,000","0","71,000","0","0","0","0","0","0","93,000","0","0","0","181,000","88,000","93,000","164,000",
="006207","FH滬深          ","184,000","0","184,000","0","0","0","0","0","0","-23,000","0","0","0","198,000","221,000","-23,000","161,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","0","0","0","121,000","0","0","0","121,000","0","121,000","121,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","0","0","0","116,000","0","0","0","138,000","22,000","116,000","116,000",
="00704L","台新MSCI台灣正2 ","0","0","0","0","0","0","0","0","0","100,000","0","0","0","100,000","0","100,000","100,000",
="00674R","元大S&P黃金反1  ","0","27,000","-27,000","0","0","0","0","0","0","91,000","0","0","0","116,000","25,000","91,000","64,000",
="00715L","華頓S&P布蘭特正2","0","0","0","0","0","0","0","0","0","55,000","0","0","0","256,000","201,000","55,000","55,000",
="00707R","元大S&P日圓反1  ","0","0","0","0","0","0","0","0","0","51,000","0","0","0","51,000","0","51,000","51,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","0","0","0","49,000","0","0","0","681,000","632,000","49,000","49,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","0","0","0","35,000","0","0","0","58,000","23,000","35,000","35,000",
="00665L","富邦H股正2      ","34,000","0","34,000","0","0","0","0","0","0","0","0","0","0","228,000","228,000","0","34,000",
="00675L","富邦臺灣加權正2 ","61,000","0","61,000","0","0","0","0","0","0","-30,000","0","0","0","141,000","171,000","-30,000","31,000",
="00634R","富邦上証反1     ","0","0","0","0","0","0","0","0","0","31,000","0","0","0","51,000","20,000","31,000","31,000",
="00688L","國泰20年美債正2 ","0","0","0","0","0","0","0","0","0","24,000","0","0","0","244,000","220,000","24,000","24,000",
="00713","元大台灣高息低波","0","0","0","0","0","0","0","0","0","16,000","0","0","0","16,000","0","16,000","16,000",
="0051","元大中型100     ","0","0","0","0","0","0","0","0","0","15,000","0","0","0","15,000","0","15,000","15,000",
="008201","BP上證50        ","0","0","0","0","0","0","0","0","0","11,200","0","0","0","11,200","0","11,200","11,200",
="00645","富邦日本        ","0","0","0","0","0","0","0","0","0","11,000","0","0","0","86,000","75,000","11,000","11,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","0","0","0","10,000","0","0","0","106,000","96,000","10,000","10,000",
="00678","群益NBI生技     ","0","17,000","-17,000","0","0","0","0","0","0","27,000","0","0","0","428,000","401,000","27,000","10,000",
="00668","國泰美國道瓊    ","0","6,000","-6,000","0","0","0","0","0","0","12,000","0","0","0","12,000","0","12,000","6,000",
="00652","富邦印度        ","0","0","0","0","0","0","0","0","0","6,000","0","0","0","7,000","1,000","6,000","6,000",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","3,000","0","0","0","3,000","0","3,000","3,000",
="0054","元大台商50      ","0","0","0","0","0","0","0","0","0","2,000","0","0","0","4,000","2,000","2,000","2,000",
="00684R","元大美元指數反1 ","0","2,000","-2,000","0","0","0","0","0","0","4,000","0","0","0","4,000","0","4,000","2,000",
="00689R","國泰20年美債反1 ","23,000","0","23,000","0","0","0","0","0","0","-22,000","0","0","0","200,000","222,000","-22,000","1,000",
="00660","元大歐洲50      ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","2,000","1,000","1,000","1,000",
="0057","富邦摩台        ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","1,000","0","1,000","1,000",
="0059","富邦金融        ","0","0","0","0","0","0","0","0","0","1,000","0","0","0","4,000","3,000","1,000","1,000",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
="00636K","國泰中國A50+U   ","0","0","0","0","0","0","0","0","0","0","0","0","0","160,000","160,000","0","0",
="00661","元大日經225     ","0","0","0","0","0","0","0","0","0","0","0","0","0","30,000","30,000","0","0",
="00657","國泰日經225     ","0","0","0","0","0","0","0","0","0","0","0","0","0","53,000","53,000","0","0",
="00657K","國泰日經225+U   ","0","0","0","0","0","0","0","0","0","0","0","0","0","150,000","150,000","0","0",
="00668K","國泰美國道瓊+U  ","0","0","0","0","0","0","0","0","0","0","0","0","0","160,000","160,000","0","0",
="00641R","富邦日本反1     ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","277,000","278,000","-1,000","-1,000",
="00649","FH香港          ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","83,000","84,000","-1,000","-1,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","2,000","3,000","-1,000","-1,000",
="00709","富邦歐洲        ","0","0","0","0","0","0","0","0","0","-1,000","0","0","0","100,000","101,000","-1,000","-1,000",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","-2,000","0","0","0","1,000","3,000","-2,000","-2,000",
="0053","元大電子        ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","1,000","4,000","-3,000","-3,000",
="00700","富邦H股         ","0","0","0","0","0","0","0","0","0","-3,000","0","0","0","175,000","178,000","-3,000","-3,000",
