"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","33,057,000","1,975,000","31,082,000","741,000","0","741,000","50,593,000","0","0","0","67,402,000","16,809,000","50,593,000","82,416,000",
="00633L","富邦上証正2     ","25,403,000","540,000","24,863,000","0","0","0","6,254,000","20,000","145,000","-125,000","14,741,000","8,362,000","6,379,000","31,117,000",
="00632R","元大台灣50反1   ","41,160,000","1,076,000","40,084,000","0","0","0","-22,815,000","0","2,000,000","-2,000,000","1,580,000","22,395,000","-20,815,000","17,269,000",
="00655L","國泰中國A50正2  ","2,577,000","34,000","2,543,000","0","0","0","5,755,000","0","0","0","9,039,000","3,284,000","5,755,000","8,298,000",
="006205","富邦上証        ","4,841,000","30,000","4,811,000","0","1,000,000","-1,000,000","2,265,000","98,000","1,917,000","-1,819,000","5,905,000","1,821,000","4,084,000","6,076,000",
="006207","FH滬深          ","2,772,000","0","2,772,000","0","0","0","2,066,000","0","0","0","2,364,000","298,000","2,066,000","4,838,000",
="006206","元大上證50      ","1,500,000","0","1,500,000","0","0","0","1,884,000","51,000","337,000","-286,000","2,969,000","799,000","2,170,000","3,384,000",
="0061","元大寶滬深      ","0","0","0","0","0","0","2,786,000","30,000","0","30,000","4,011,000","1,255,000","2,756,000","2,786,000",
="0055","元大MSCI金融    ","0","0","0","0","0","0","2,267,000","0","0","0","2,271,000","4,000","2,267,000","2,267,000",
="00676R","富邦臺灣加權反1 ","0","0","0","0","0","0","2,022,000","0","0","0","2,953,000","931,000","2,022,000","2,022,000",
="00643","群益深証中小    ","106,000","0","106,000","0","0","0","1,634,000","0","0","0","1,940,000","306,000","1,634,000","1,740,000",
="00639","富邦深100       ","1,524,000","0","1,524,000","0","0","0","136,000","10,000","750,000","-740,000","1,286,000","410,000","876,000","1,660,000",
="00665L","富邦H股正2      ","659,000","0","659,000","0","0","0","878,000","0","0","0","1,606,000","728,000","878,000","1,537,000",
="00663L","國泰臺灣加權正2 ","10,000","0","10,000","0","0","0","1,526,000","0","0","0","1,692,000","166,000","1,526,000","1,536,000",
="00673R","元大S&P原油反1  ","250,000","0","250,000","0","0","0","766,000","0","0","0","1,108,000","342,000","766,000","1,016,000",
="00657","國泰日經225     ","256,000","0","256,000","0","0","0","741,000","0","0","0","763,000","22,000","741,000","997,000",
="00692","富邦公司治理    ","0","0","0","0","0","0","608,000","0","0","0","1,523,000","915,000","608,000","608,000",
="00686R","群益臺灣加權反1 ","0","1,000","-1,000","0","0","0","531,000","0","0","0","838,000","307,000","531,000","530,000",
="00649","FH香港          ","0","0","0","0","0","0","501,000","0","0","0","521,000","20,000","501,000","501,000",
="00664R","國泰臺灣加權反1 ","0","5,000","-5,000","0","0","0","495,000","0","0","0","1,356,000","861,000","495,000","490,000",
="00631L","元大台灣50正2   ","70,000","0","70,000","0","0","0","389,000","25,000","0","25,000","388,000","24,000","364,000","459,000",
="00642U","元大S&P石油     ","0","0","0","0","0","0","409,000","0","0","0","455,000","46,000","409,000","409,000",
="00701","國泰臺灣低波動30","0","0","0","0","0","0","408,000","0","0","0","603,000","195,000","408,000","408,000",
="0050","元大台灣50      ","447,000","2,596,000","-2,149,000","0","0","0","2,524,000","213,000","20,000","193,000","2,606,000","275,000","2,331,000","375,000",
="00641R","富邦日本反1     ","55,000","0","55,000","0","0","0","262,000","0","0","0","518,000","256,000","262,000","317,000",
="00645","富邦日本        ","0","0","0","0","0","0","276,000","0","0","0","361,000","85,000","276,000","276,000",
="00703","台新MSCI中國    ","0","0","0","20,000","0","20,000","226,000","0","0","0","575,000","349,000","226,000","246,000",
="00675L","富邦臺灣加權正2 ","0","0","0","0","0","0","228,000","0","0","0","426,000","198,000","228,000","228,000",
="00640L","富邦日本正2     ","56,000","37,000","19,000","0","0","0","146,000","0","0","0","837,000","691,000","146,000","165,000",
="00700","富邦H股         ","39,000","0","39,000","0","0","0","52,000","0","0","0","52,000","0","52,000","91,000",
="00690","兆豐藍籌30      ","0","0","0","0","0","0","75,000","0","0","0","712,000","637,000","75,000","75,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","73,000","0","31,000","-31,000","106,000","2,000","104,000","73,000",
="00659R","國泰日本反1     ","0","0","0","0","0","0","70,000","0","0","0","94,000","24,000","70,000","70,000",
="00646","元大S&P500      ","65,000","0","65,000","0","0","0","0","0","0","0","0","0","0","65,000",
="00702","國泰標普低波高息","0","0","0","0","0","0","51,000","0","0","0","51,000","0","51,000","51,000",
="00650L","FH香港正2       ","0","0","0","0","0","0","48,000","0","0","0","142,000","94,000","48,000","48,000",
="00683L","元大美元指數正2 ","40,000","0","40,000","0","0","0","0","0","0","0","0","0","0","40,000",
="008201","BP上證50        ","0","0","0","0","0","0","34,000","0","0","0","34,000","0","34,000","34,000",
="00693U","華頓S&P黃豆     ","0","0","0","0","0","0","30,000","0","0","0","32,000","2,000","30,000","30,000",
="00682U","元大美元指數    ","25,000","0","25,000","0","0","0","4,000","0","0","0","4,000","0","4,000","29,000",
="00652","富邦印度        ","0","0","0","0","0","0","29,000","0","0","0","32,000","3,000","29,000","29,000",
="0051","元大中型100     ","0","0","0","0","0","0","22,000","0","0","0","22,000","0","22,000","22,000",
="00654R","富邦印度反1     ","0","0","0","0","0","0","21,000","0","0","0","22,000","1,000","21,000","21,000",
="00713","元大台灣高息低波","0","0","0","0","0","0","20,000","0","0","0","20,000","0","20,000","20,000",
="0053","元大電子        ","0","0","0","0","0","0","18,000","0","0","0","18,000","0","18,000","18,000",
="0054","元大台商50      ","0","0","0","0","0","0","17,000","0","0","0","17,000","0","17,000","17,000",
="00674R","元大S&P黃金反1  ","15,000","0","15,000","0","0","0","1,000","0","0","0","1,000","0","1,000","16,000",
="00712","FH富時不動產    ","0","0","0","0","0","0","14,000","0","0","0","14,000","0","14,000","14,000",
="00691R","兆豐藍籌30反1   ","0","0","0","0","0","0","13,000","0","0","0","16,000","3,000","13,000","13,000",
="0052","富邦科技        ","4,000","0","4,000","0","0","0","5,017","0","0","0","8,017","3,000","5,017","9,017",
="0057","富邦摩台        ","0","0","0","0","0","0","8,000","0","0","0","9,000","1,000","8,000","8,000",
="00716R","華頓S&P布蘭特反1","0","0","0","0","0","0","8,000","0","0","0","466,000","458,000","8,000","8,000",
="00685L","群益臺灣加權正2 ","0","0","0","0","0","0","6,000","0","0","0","17,000","11,000","6,000","6,000",
="00704L","台新MSCI台灣正2 ","0","0","0","0","0","0","5,000","0","0","0","59,000","54,000","5,000","5,000",
="00671R","富邦NASDAQ反1   ","0","0","0","0","0","0","4,000","0","19,000","-19,000","28,000","5,000","23,000","4,000",
="00688L","國泰20年美債正2 ","0","0","0","0","0","0","3,000","0","0","0","203,000","200,000","3,000","3,000",
="00709","富邦歐洲        ","0","0","0","0","0","0","2,000","0","0","0","13,000","11,000","2,000","2,000",
="00710B","FH彭博高收益債  ","0","10,000","-10,000","0","0","0","10,000","0","0","0","10,000","0","10,000","0",
="00689R","國泰20年美債反1 ","0","0","0","0","0","0","0","0","0","0","200,000","200,000","0","0",
="00668K","國泰美國道瓊+U  ","0","0","0","0","0","0","0","0","0","0","80,000","80,000","0","0",
="00684R","元大美元指數反1 ","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
="00657K","國泰日經225+U   ","0","0","0","0","0","0","0","0","0","0","80,100","80,100","0","0",
="00661","元大日經225     ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="00625K","富邦上証+R      ","0","0","0","0","0","0","0","0","0","0","50,000","50,000","0","0",
="00636K","國泰中國A50+U   ","0","0","0","0","0","0","0","0","0","0","86,600","86,600","0","0",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0058","富邦發達        ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0059","富邦金融        ","0","0","0","0","0","0","-1,000","0","0","0","1,000","2,000","-1,000","-1,000",
="00660","元大歐洲50      ","0","0","0","0","0","0","-1,000","0","0","0","3,000","4,000","-1,000","-1,000",
="00668","國泰美國道瓊    ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="00658L","國泰日本正2     ","0","0","0","0","0","0","-2,000","0","0","0","38,000","40,000","-2,000","-2,000",
="00705R","台新MSCI台灣反1 ","0","0","0","0","0","0","-2,000","0","0","0","203,000","205,000","-2,000","-2,000",
="00714","群益道瓊美國地產","0","0","0","0","0","0","-2,000","0","0","0","600,000","602,000","-2,000","-2,000",
="00707R","元大S&P日圓反1  ","0","0","0","0","0","0","-5,000","0","0","0","402,000","407,000","-5,000","-5,000",
="00662","富邦NASDAQ      ","0","0","0","0","0","0","-7,000","0","0","0","0","7,000","-7,000","-7,000",
="006208","富邦台50        ","0","0","0","0","0","0","-10,000","0","0","0","0","10,000","-10,000","-10,000",
="00670L","富邦NASDAQ正2   ","0","0","0","0","0","0","-13,000","0","0","0","0","13,000","-13,000","-13,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","-28,000","0","0","0","0","28,000","-28,000","-28,000",
="00666R","富邦H股反1      ","0","0","0","0","0","0","-52,000","0","0","0","0","52,000","-52,000","-52,000",
="00669R","國泰美國道瓊反1 ","0","0","0","0","0","0","-70,000","0","0","0","64,000","134,000","-70,000","-70,000",
="00678","群益NBI生技     ","0","105,000","-105,000","0","0","0","-3,000","0","0","0","300,000","303,000","-3,000","-108,000",
="00706L","元大S&P日圓正2  ","0","0","0","0","0","0","-112,000","0","0","0","435,000","547,000","-112,000","-112,000",
="00715L","華頓S&P布蘭特正2","0","0","0","0","0","0","-171,000","0","0","0","282,000","453,000","-171,000","-171,000",
="00656R","國泰中國A50反1  ","0","1,000","-1,000","0","0","0","-205,000","0","0","0","64,000","269,000","-205,000","-206,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","-216,000","0","0","0","165,000","381,000","-216,000","-216,000",
="00653L","富邦印度正2     ","0","0","0","0","0","0","-221,000","0","0","0","176,000","397,000","-221,000","-221,000",
="0056","元大高股息      ","0","0","0","0","0","0","-241,000","0","0","0","0","241,000","-241,000","-241,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","-371,000","0","0","0","12,000","383,000","-371,000","-371,000",
="00638R","元大滬深300反1  ","0","5,000","-5,000","0","0","0","-392,000","0","0","0","27,000","419,000","-392,000","-397,000",
="00636","國泰中國A50     ","25,000","262,000","-237,000","0","0","0","-1,293,000","100,000","800,000","-700,000","4,031,000","4,624,000","-593,000","-1,530,000",
="00708L","元大S&P黃金正2  ","0","450,000","-450,000","0","0","0","-1,656,000","0","0","0","117,000","1,773,000","-1,656,000","-2,106,000",
="00634R","富邦上証反1     ","0","271,000","-271,000","0","0","0","-2,878,000","0","0","0","518,000","3,396,000","-2,878,000","-3,149,000",
="00672L","元大S&P原油正2  ","0","2,176,000","-2,176,000","0","0","0","-3,565,000","99,000","1,444,000","-1,345,000","493,000","2,713,000","-2,220,000","-5,741,000",
="00677U","富邦VIX         ","0","6,704,000","-6,704,000","0","0","0","-10,444,000","0","0","0","20,000","10,464,000","-10,444,000","-17,148,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
