"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006206","元大上證50      ","1,516,000","100,000","1,416,000","0","17,000","-17,000","4,724,000","2,547,000","2,177,000","1,769,000",
="0056","元大高股息      ","0","8,000","-8,000","0","0","0","348,000","348,000","0","340,000",
="0051","元大中型100     ","28,000","0","28,000","0","0","0","0","0","0","28,000",
="0057","富邦摩台        ","12,000","0","12,000","0","0","0","0","0","0","12,000",
="0052","富邦科技        ","29,000","0","29,000","0","0","0","20,000","0","20,000","9,000",
="0059","富邦金融        ","2,000","0","2,000","0","0","0","3,000","2,000","1,000","3,000",
="0058","富邦發達        ","22,000","0","22,000","0","0","0","23,000","1,000","22,000","1,000",
="0053","元大電子        ","1,000","0","1,000","0","0","0","0","0","0","1,000",
="006203","元大MSCI台灣    ","0","1,000","-1,000","0","0","0","1,000","1,000","0","0",
="006208","富邦台50        ","0","0","0","0","0","0","30,000","1,000","29,000","-28,000",
="0055","元大MSCI金融    ","0","2,000","-2,000","0","0","0","553,000","190,000","363,000","-175,000",
="006204","永豐臺灣加權    ","0","0","0","0","0","0","355,458","17,000","338,458","-321,458",
="006205","富邦上証        ","7,000","2,200,000","-2,193,000","0","535,000","-535,000","6,206,000","3,868,000","2,338,000","-1,198,000",
="006207","FH滬深          ","0","2,000","-2,000","0","0","0","1,754,000","222,000","1,532,000","-1,312,000",
="0050","元大台灣50      ","862,000","3,321,000","-2,459,000","0","190,000","-190,000","3,197,000","596,000","2,601,000","-4,654,000",
="0061","元大寶滬深      ","2,000","4,985,000","-4,983,000","0","977,000","-977,000","16,816,000","5,363,000","11,453,000","-12,050,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
