"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數","自營商賣出股數","三大法人買賣超股數",
="006206","元大上證50      ","668,000","266,000","402,000","0","85,000","-85,000","1,203,000","1,127,000","76,000","1,368,000",
="006205","富邦上証        ","421,000","546,000","-125,000","3,390,000","200,000","3,190,000","6,996,000","2,581,000","4,415,000","1,231,000",
="0056","元大高股息      ","32,000","0","32,000","100,000","0","100,000","372,000","339,000","33,000","438,000",
="0051","元大中型100     ","14,000","0","14,000","0","0","0","57,000","57,000","0","71,000",
="0053","元大電子        ","2,000","0","2,000","0","0","0","11,000","11,000","0","13,000",
="0052","富邦科技        ","0","0","0","0","0","0","9,000","6,000","3,000","3,000",
="0054","元大台商50      ","1,000","0","1,000","0","0","0","0","0","0","1,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","1,000","1,000","0","1,000",
="0059","富邦金融        ","0","0","0","0","0","0","6,000","0","6,000","-6,000",
="006208","富邦台50        ","0","0","0","0","0","0","31,000","4,000","27,000","-23,000",
="006204","永豐臺灣加權    ","201,000","0","201,000","0","0","0","877,999","241,000","636,999","-194,999",
="006207","FH滬深          ","537,000","558,000","-21,000","0","0","0","2,189,000","717,000","1,472,000","-776,000",
="0050","元大台灣50      ","415,000","856,000","-441,000","0","0","0","8,799,000","4,215,000","4,584,000","-810,000",
="0055","元大MSCI金融    ","493,000","250,000","243,000","0","0","0","4,544,000","1,448,000","3,096,000","-1,405,000",
="0061","元大寶滬深      ","3,550,000","0","3,550,000","0","632,000","-632,000","22,155,000","8,156,000","13,999,000","-2,925,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
