"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="0050","元大台灣50      ","3,419,000","1,749,000","1,670,000","0","0","0","3,471,000","369,000","968,000","-599,000","6,237,000","2,167,000","4,070,000","5,141,000",
="00633L","富邦上証正2     ","2,539,000","8,000","2,531,000","150,000","0","150,000","569,000","379,000","414,000","-35,000","31,810,000","31,206,000","604,000","3,250,000",
="00631L","元大台灣50正2   ","0","0","0","0","0","0","3,060,000","278,000","337,000","-59,000","3,311,000","192,000","3,119,000","3,060,000",
="0056","元大高股息      ","100,000","1,000","99,000","0","0","0","2,951,000","0","0","0","2,951,000","0","2,951,000","3,050,000",
="00637L","元大滬深300正2  ","9,595,000","0","9,595,000","541,000","0","541,000","-7,994,000","966,000","206,000","760,000","39,268,000","48,022,000","-8,754,000","2,142,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","1,660,000","0","45,000","-45,000","1,984,000","279,000","1,705,000","1,660,000",
="00641R","富邦日本反1     ","0","31,000","-31,000","0","0","0","1,515,000","38,000","34,000","4,000","3,620,000","2,109,000","1,511,000","1,484,000",
="00639","富邦深100       ","0","0","0","0","0","0","468,000","183,000","238,000","-55,000","2,685,000","2,162,000","523,000","468,000",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","219,000","0","300,000","-300,000","1,355,000","836,000","519,000","219,000",
="00650L","FH香港正2       ","0","0","0","0","0","0","94,000","0","0","0","2,915,000","2,821,000","94,000","94,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","24,000","4,000","4,000","0","2,012,000","1,988,000","24,000","24,000",
="0051","元大中型100     ","0","0","0","0","0","0","18,000","0","0","0","18,000","0","18,000","18,000",
="00646","元大S&P500      ","0","0","0","0","0","0","14,000","0","0","0","540,000","526,000","14,000","14,000",
="00649","FH香港          ","0","0","0","0","0","0","12,000","0","0","0","982,000","970,000","12,000","12,000",
="0053","元大電子        ","0","0","0","0","0","0","10,000","0","0","0","11,000","1,000","10,000","10,000",
="0060","新台灣          ","0","0","0","0","0","0","7,000","0","0","0","7,000","0","7,000","7,000",
="00643","群益深証中小    ","0","0","0","0","0","0","3,000","75,000","0","75,000","1,739,000","1,811,000","-72,000","3,000",
="0054","元大台商50      ","0","0","0","0","0","0","2,000","0","0","0","2,000","0","2,000","2,000",
="0052","富邦科技        ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="006208","富邦台50        ","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0",
="0058","富邦發達        ","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="0059","富邦金融        ","0","0","0","0","0","0","-3,000","0","0","0","0","3,000","-3,000","-3,000",
="0057","富邦摩台        ","0","0","0","0","0","0","-8,000","0","0","0","0","8,000","-8,000","-8,000",
="00645","富邦日本        ","0","0","0","0","0","0","-17,000","0","0","0","1,223,000","1,240,000","-17,000","-17,000",
="00634R","富邦上証反1     ","579,000","0","579,000","0","0","0","-598,000","48,000","339,000","-291,000","2,908,000","3,215,000","-307,000","-19,000",
="00638R","元大滬深300反1  ","678,000","0","678,000","0","0","0","-700,000","33,000","33,000","0","1,117,000","1,817,000","-700,000","-22,000",
="00636","國泰中國A50     ","0","0","0","0","0","0","-99,000","150,000","300,000","-150,000","5,524,000","5,473,000","51,000","-99,000",
="0055","元大MSCI金融    ","0","444,000","-444,000","0","0","0","19,000","0","0","0","19,000","0","19,000","-425,000",
="006207","FH滬深          ","0","3,000","-3,000","0","0","0","-454,000","150,000","132,000","18,000","1,150,000","1,622,000","-472,000","-457,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","-706,000","2,000","0","2,000","966,000","1,674,000","-708,000","-706,000",
="006206","元大上證50      ","86,000","50,000","36,000","200,000","0","200,000","-1,805,000","735,000","0","735,000","725,000","3,265,000","-2,540,000","-1,569,000",
="0061","元大寶滬深      ","5,000","0","5,000","0","0","0","-1,783,000","270,000","230,000","40,000","1,351,000","3,174,000","-1,823,000","-1,778,000",
="006205","富邦上証        ","340,000","2,000","338,000","0","0","0","-4,839,000","123,000","305,000","-182,000","2,607,000","7,264,000","-4,657,000","-4,501,000",
="00640L","富邦日本正2     ","0","24,000","-24,000","0","0","0","-12,786,000","0","0","0","6,095,000","18,881,000","-12,786,000","-12,810,000",
="00632R","元大台灣50反1   ","500,000","199,000","301,000","0","2,129,000","-2,129,000","-32,165,000","1,943,000","148,000","1,795,000","659,000","34,619,000","-33,960,000","-33,993,000",
="00642U","元大S&P石油     ","1,747,000","3,263,000","-1,516,000","0","0","0","-43,617,000","80,000","150,000","-70,000","398,000","43,945,000","-43,547,000","-45,133,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
