"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2  ","6,096,000","0","6,096,000","0","0","0","110,584,000","374,000","3,008,000","-2,634,000","139,999,000","26,781,000","113,218,000","116,680,000",
="00633L","富邦上証正2     ","7,367,000","5,000","7,362,000","0","0","0","58,402,000","1,465,000","3,583,000","-2,118,000","78,806,000","18,286,000","60,520,000","65,764,000",
="0050","元大台灣50      ","32,359,000","844,000","31,515,000","0","0","0","-10,002,000","181,000","1,382,000","-1,201,000","2,767,000","11,568,000","-8,801,000","21,513,000",
="00642U","元大S&P石油     ","1,000","200,000","-199,000","20,000","0","20,000","1,968,000","0","120,000","-120,000","4,590,000","2,502,000","2,088,000","1,789,000",
="00636","國泰中國A50     ","199,000","431,000","-232,000","400,000","0","400,000","1,268,000","50,000","580,000","-530,000","4,664,000","2,866,000","1,798,000","1,436,000",
="00646","元大S&P500      ","0","0","0","0","0","0","944,000","0","0","0","1,004,000","60,000","944,000","944,000",
="00631L","元大台灣50正2   ","0","0","0","0","0","0","760,000","253,000","454,000","-201,000","1,234,000","273,000","961,000","760,000",
="00649","FH香港          ","0","0","0","0","0","0","367,000","0","0","0","478,000","111,000","367,000","367,000",
="0056","元大高股息      ","1,000","0","1,000","0","0","0","237,000","0","0","0","237,000","0","237,000","238,000",
="006205","富邦上証        ","70,000","20,000","50,000","0","0","0","50,000","291,000","135,000","156,000","5,021,000","5,127,000","-106,000","100,000",
="00635U","元大S&P黃金     ","0","0","0","0","0","0","49,000","0","25,000","-25,000","366,000","292,000","74,000","49,000",
="00647L","元大S&P500正2   ","0","0","0","0","0","0","18,000","0","0","0","177,000","159,000","18,000","18,000",
="0053","元大電子        ","0","0","0","0","0","0","15,000","0","0","0","15,000","0","15,000","15,000",
="006204","永豐臺灣加權    ","2,000","0","2,000","0","0","0","12,000","0","0","0","13,000","1,000","12,000","14,000",
="008201","BP上證50        ","0","0","0","0","0","0","12,500","0","0","0","12,500","0","12,500","12,500",
="0051","元大中型100     ","0","0","0","0","0","0","10,000","0","0","0","10,000","0","10,000","10,000",
="0052","富邦科技        ","0","0","0","0","0","0","5,000","0","0","0","5,000","0","5,000","5,000",
="0054","元大台商50      ","0","0","0","0","0","0","2,000","0","0","0","2,000","0","2,000","2,000",
="00651R","FH香港反1       ","0","0","0","0","0","0","2,000","0","0","0","96,000","94,000","2,000","2,000",
="0057","富邦摩台        ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0059","富邦金融        ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="006203","元大MSCI台灣    ","0","0","0","0","0","0","-1,000","0","0","0","0","1,000","-1,000","-1,000",
="0055","元大MSCI金融    ","101,000","0","101,000","0","0","0","-143,000","0","144,000","-144,000","1,000","0","1,000","-42,000",
="00641R","富邦日本反1     ","0","0","0","0","0","0","-42,000","58,000","73,000","-15,000","451,000","478,000","-27,000","-42,000",
="00645","富邦日本        ","0","0","0","0","0","0","-88,000","0","0","0","877,000","965,000","-88,000","-88,000",
="00650L","FH香港正2       ","0","0","0","0","0","0","-187,000","0","0","0","212,000","399,000","-187,000","-187,000",
="00643","群益深証中小    ","1,000","0","1,000","0","0","0","-219,000","0","0","0","347,000","566,000","-219,000","-218,000",
="00638R","元大滬深300反1  ","35,000","0","35,000","0","0","0","-645,000","0","0","0","2,015,000","2,660,000","-645,000","-610,000",
="00648R","元大S&P500反1   ","0","0","0","0","0","0","-649,000","100,000","0","100,000","346,000","1,095,000","-749,000","-649,000",
="006207","FH滬深          ","3,000","0","3,000","168,000","0","168,000","-847,000","189,000","11,000","178,000","570,000","1,595,000","-1,025,000","-676,000",
="006206","元大上證50      ","1,000","0","1,000","0","0","0","-733,000","0","0","0","1,172,000","1,905,000","-733,000","-732,000",
="00639","富邦深100       ","30,000","0","30,000","0","0","0","-1,362,000","290,000","100,000","190,000","2,167,000","3,719,000","-1,552,000","-1,332,000",
="0061","元大寶滬深      ","62,000","0","62,000","223,000","0","223,000","-1,634,000","536,000","14,000","522,000","893,000","3,049,000","-2,156,000","-1,349,000",
="00634R","富邦上証反1     ","0","1,432,000","-1,432,000","0","0","0","-2,398,000","706,000","0","706,000","918,000","4,022,000","-3,104,000","-3,830,000",
="00640L","富邦日本正2     ","0","0","0","0","0","0","-3,856,000","0","129,000","-129,000","1,229,000","4,956,000","-3,727,000","-3,856,000",
="00632R","元大台灣50反1   ","663,000","36,150,000","-35,487,000","0","0","0","-36,333,000","5,065,000","785,000","4,280,000","213,000","40,826,000","-40,613,000","-71,820,000",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"外資自營商買賣股數已計入自營商買賣股數，故不納入三大法人買賣股數之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
