"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2317","鴻海            ","32,222,018","8,732,225","23,489,793","0","0","0","250,000","0","250,000","3,106,000","708,000","136,000","572,000","4,228,000","1,694,000","2,534,000","26,845,793",
"2337","旺宏            ","11,966,000","2,931,000","9,035,000","0","0","0","1,673,000","99,000","1,574,000","3,656,000","1,369,000","497,000","872,000","12,297,000","9,513,000","2,784,000","14,265,000",
"2303","聯電            ","21,601,700","10,076,000","11,525,700","0","0","0","0","0","0","87,000","622,000","136,000","486,000","330,000","729,000","-399,000","11,612,700",
"1101","台泥            ","11,933,000","2,167,000","9,766,000","0","0","0","13,000","550,000","-537,000","-320,000","40,000","412,000","-372,000","138,000","86,000","52,000","8,909,000",
="00673R","元大S&P原油反1  ","200,000","0","200,000","0","0","0","0","0","0","8,672,000","138,000","0","138,000","9,000,000","466,000","8,534,000","8,872,000",
"6116","彩晶            ","9,440,000","2,372,000","7,068,000","0","0","0","0","0","0","1,274,000","20,000","23,000","-3,000","1,762,000","485,000","1,277,000","8,342,000",
"2332","友訊            ","5,747,000","784,000","4,963,000","0","0","0","0","0","0","885,000","237,000","12,000","225,000","817,000","157,000","660,000","5,848,000",
"2344","華邦電          ","10,101,000","5,946,000","4,155,000","0","0","0","0","0","0","1,232,000","758,000","20,000","738,000","1,411,000","917,000","494,000","5,387,000",
"3481","群創            ","8,611,000","3,817,000","4,794,000","0","0","0","0","0","0","-267,000","3,000","0","3,000","127,000","397,000","-270,000","4,527,000",
"1605","華新            ","5,444,000","1,959,000","3,485,000","0","0","0","80,000","0","80,000","703,000","1,309,000","147,000","1,162,000","171,000","630,000","-459,000","4,268,000",
="077793","國巨麥證7A購05  ","0","0","0","4,011,000","2,183,000","1,828,000","0","0","0","4,200,000","0","0","0","6,383,000","2,183,000","4,200,000","4,200,000",
="076103","康控麥證7A購02  ","0","0","0","4,408,000","227,000","4,181,000","0","0","0","4,181,000","0","0","0","4,408,000","227,000","4,181,000","4,181,000",
="076228","奇力新群益79購02","0","0","0","0","0","0","0","0","0","4,166,000","0","0","0","4,167,000","1,000","4,166,000","4,166,000",
="077204","英業達麥證7B購01","0","0","0","4,409,000","117,000","4,292,000","0","0","0","4,080,000","0","0","0","4,409,000","329,000","4,080,000","4,080,000",
="06223P","台積電統一76售03","0","0","0","0","0","0","0","0","0","3,672,000","0","0","0","3,672,000","0","3,672,000","3,672,000",
="074950","潤泰全麥證7A購01","0","0","0","4,123,000","824,000","3,299,000","0","0","0","3,544,000","0","0","0","4,567,000","1,023,000","3,544,000","3,544,000",
="077152","奇力新日盛7A購01","0","0","0","0","0","0","0","0","0","3,442,000","0","0","0","3,452,000","10,000","3,442,000","3,442,000",
="078757","聯發科麥證7C購01","0","0","0","3,859,000","174,000","3,685,000","0","0","0","3,385,000","0","0","0","3,859,000","474,000","3,385,000","3,385,000",
="073664","聯發科麥證7A購02","0","0","0","3,714,000","31,000","3,683,000","0","0","0","3,383,000","0","0","0","3,714,000","331,000","3,383,000","3,383,000",
="075728","聯發科麥證7A購04","0","0","0","3,842,000","288,000","3,554,000","0","0","0","3,254,000","0","0","0","3,842,000","588,000","3,254,000","3,254,000",
="077209","聯發科麥證7B購01","0","0","0","3,511,000","226,000","3,285,000","0","0","0","3,197,000","0","0","0","3,511,000","314,000","3,197,000","3,197,000",
="075955","南亞科麥證79購02","0","0","0","3,564,000","420,000","3,144,000","0","0","0","3,144,000","0","0","0","3,564,000","420,000","3,144,000","3,144,000",
"2347","聯強            ","3,638,000","553,000","3,085,000","0","0","0","150,000","77,000","73,000","-64,000","0","0","0","0","64,000","-64,000","3,094,000",
"2884","玉山金          ","6,280,000","3,239,000","3,041,000","0","0","0","0","0","0","46,890","45,000","0","45,000","2,000","110","1,890","3,087,890",
="073945","聯發科麥證79購01","0","0","0","4,123,000","755,000","3,368,000","0","0","0","3,068,000","0","0","0","4,123,000","1,055,000","3,068,000","3,068,000",
"2367","燿華            ","2,430,000","421,000","2,009,000","0","0","0","1,500,000","930,000","570,000","466,000","361,000","2,230,000","-1,869,000","2,398,000","63,000","2,335,000","3,045,000",
="075474","強茂麥證79購01  ","0","0","0","4,480,000","832,000","3,648,000","0","0","0","2,967,000","0","0","0","4,825,000","1,858,000","2,967,000","2,967,000",
